id	layout	base_bytes	control_bytes	candidate_bytes	base_sha256	control_sha256	candidate_sha256	base_control_full_byte	base_candidate_full_byte	control_candidate_full_byte	base_project_exact	control_project_exact	candidate_project_exact
clic-validation-008	low-latency	4391630	4391630	4582148	152787c9657668d8cc4122f6fb463985d6068a2e1104e2547211b652bb5c6413	152787c9657668d8cc4122f6fb463985d6068a2e1104e2547211b652bb5c6413	25c5774220837ecc143b92f3eca1779e307af6fa59c8d04e3bdab5e482ecdb36	1	0	0	1	1	1
clic-validation-009	default	4585812	4585812	4585812	6884224abdceb111a45dfc48b4d7e6a61d6d109c1db257c481e2ba3bc6c8a801	6884224abdceb111a45dfc48b4d7e6a61d6d109c1db257c481e2ba3bc6c8a801	6884224abdceb111a45dfc48b4d7e6a61d6d109c1db257c481e2ba3bc6c8a801	1	1	1	1	1	1
clic-validation-009	compact	5063414	5063414	4944864	964f6f54f21bb5c3e7877170ae44f804b82264da97561cf429af7b7af4dbf59c	964f6f54f21bb5c3e7877170ae44f804b82264da97561cf429af7b7af4dbf59c	edacd544cdcd1a157b9bca4708a25699b453314487e8712c4b965e9c8e18fd42	1	0	0	1	1	1
clic-validation-009	low-latency	5114026	5114026	5132336	1efa2a7beace650c60933e80fb529426037dd5abd6c8f1c58e2f281ae224bd09	1efa2a7beace650c60933e80fb529426037dd5abd6c8f1c58e2f281ae224bd09	f4bb3b1bfc6637ab569fef8e75dea7c9c0ddbdf488486badfc9476dde2236396	1	0	0	1	1	1
clic-validation-010	default	4596850	4596850	4596850	1c05b056142f0f42b5843e8eab9e36b74c3a238f526a1c4ad2b350f56ab0d379	1c05b056142f0f42b5843e8eab9e36b74c3a238f526a1c4ad2b350f56ab0d379	1c05b056142f0f42b5843e8eab9e36b74c3a238f526a1c4ad2b350f56ab0d379	1	1	1	1	1	1
clic-validation-010	compact	3997470	3997470	3954474	c9dc13f0291bd11d641b455f7bf291712057154060990b11c5a863f8227dc98f	c9dc13f0291bd11d641b455f7bf291712057154060990b11c5a863f8227dc98f	a04f26fad8828a8a454a6c72b0007e4ea350d6407d7fa3983dfb157f0fa11fb7	1	0	0	1	1	1
clic-validation-010	low-latency	4032212	4032212	4091532	5c84b56441ae479b4e60dc92fc48c66d589b2b0fadf3d6d72f17a6eb1fef2278	5c84b56441ae479b4e60dc92fc48c66d589b2b0fadf3d6d72f17a6eb1fef2278	710162f99db499265905698a363e8b5ec039dbe2659f51be20bb9eefda97a8f7	1	0	0	1	1	1
clic-validation-011	default	2219464	2219464	2219464	1e56c49e1191b8955f07dd5408b2cd2d36d4fb00fb9685c27467410c22893335	1e56c49e1191b8955f07dd5408b2cd2d36d4fb00fb9685c27467410c22893335	1e56c49e1191b8955f07dd5408b2cd2d36d4fb00fb9685c27467410c22893335	1	1	1	1	1	1
clic-validation-011	compact	1961344	1961344	1984944	5f2b48818cd484250967be7ab1b97740b53d928f4f8bd913ebe92534f25e5745	5f2b48818cd484250967be7ab1b97740b53d928f4f8bd913ebe92534f25e5745	fa325e757e1624d9511d008cd0086fec0eb85cede9c0466fd7c4eaac95759c85	1	0	0	1	1	1
clic-validation-011	low-latency	2023660	2023660	2025816	1e9447f026d14b4f9d6b24047037e98aeb9815ff85e41e42cdf1ba8099ebf307	1e9447f026d14b4f9d6b24047037e98aeb9815ff85e41e42cdf1ba8099ebf307	a0886393881c50309481c41b95806542c5be335e7eb8b29bf74af24e8879e306	1	0	0	1	1	1
clic-validation-012	default	5327640	5327640	5327640	e4bbc72d958f2869d91e600b9c1a2668ae12b947f097c8052e1cdeb0dce55293	e4bbc72d958f2869d91e600b9c1a2668ae12b947f097c8052e1cdeb0dce55293	e4bbc72d958f2869d91e600b9c1a2668ae12b947f097c8052e1cdeb0dce55293	1	1	1	1	1	1
clic-validation-012	compact	4891824	4891824	4797792	6374142beb526c9ab53359ee18584d832d91b6009c57d6fd741c56a3a93dfe99	6374142beb526c9ab53359ee18584d832d91b6009c57d6fd741c56a3a93dfe99	73b8fb661c55fcd360f5cf9dfa5584a5c7a647e4897cec1dd34d4fbaedb00fcc	1	0	0	1	1	1
clic-validation-012	low-latency	5008486	5008486	4944876	e1fdd28e3d907c7080858d4e9e304896728e43e107f90b6518475a2925d88e74	e1fdd28e3d907c7080858d4e9e304896728e43e107f90b6518475a2925d88e74	6a1fa6841eaba2b33d9192921cb7e254f5fb4b0b39f5b258ce1c817a70578e97	1	0	0	1	1	1
clic-validation-013	default	5522704	5522704	5522704	3f9fe579235ba830e59730d001958e0d9649d39159f2061ee93c983e24704835	3f9fe579235ba830e59730d001958e0d9649d39159f2061ee93c983e24704835	3f9fe579235ba830e59730d001958e0d9649d39159f2061ee93c983e24704835	1	1	1	1	1	1
clic-validation-013	compact	5058144	5058144	5012244	906e488dbb2917fd7eb37683db13b476631d07fdc1b4ee3d6512c462d20ce7d6	906e488dbb2917fd7eb37683db13b476631d07fdc1b4ee3d6512c462d20ce7d6	008ebc683857491799332ff738c494520ddc3ee2a7be49f5d1b9215c68ee50ca	1	0	0	1	1	1
clic-validation-013	low-latency	5153972	5153972	5076218	b7269c342b5ba02d18329ddf4cb6b32c7973f80dc16e5b3d355fb9585f9c970d	b7269c342b5ba02d18329ddf4cb6b32c7973f80dc16e5b3d355fb9585f9c970d	11408e14c4b17ea5f8099a65a6a3bad752e9866b041ef160a186e6070a85d9b3	1	0	0	1	1	1
clic-validation-014	default	5417568	5417568	5417568	c9c311b0bf988418c86c7e4c8c4d4f021500518e4b1d044dae4dd82fba9299da	c9c311b0bf988418c86c7e4c8c4d4f021500518e4b1d044dae4dd82fba9299da	c9c311b0bf988418c86c7e4c8c4d4f021500518e4b1d044dae4dd82fba9299da	1	1	1	1	1	1
clic-validation-014	compact	5293592	5293592	5297732	09247863add854c8f90424a8bf7d929be8cc3dae653218894145f534dbb71eba	09247863add854c8f90424a8bf7d929be8cc3dae653218894145f534dbb71eba	ecc561f63668fae9ad44c441ebe34546bdf194a43b4b56efa03b8078b28cbad3	1	0	0	1	1	1
clic-validation-014	low-latency	5386808	5386808	5325214	02539e8fe6fad539367e4095c7915b8de2ddc7f5ae3568dd60006266221c6336	02539e8fe6fad539367e4095c7915b8de2ddc7f5ae3568dd60006266221c6336	f4f206fea1c80779e4c7f3713b4aa3bf8306b8b7fa9bdb3008df13f966ef54c0	1	0	0	1	1	1
clic-validation-015	default	5769074	5769074	5769074	952c19851c58eb31c904d80dbf8471e3c1852fd85a8193673cef39bbc0b774c4	952c19851c58eb31c904d80dbf8471e3c1852fd85a8193673cef39bbc0b774c4	952c19851c58eb31c904d80dbf8471e3c1852fd85a8193673cef39bbc0b774c4	1	1	1	1	1	1
clic-validation-015	compact	5656200	5656200	5645960	2bf7e29200e43f63d2313332321eee06a4cbec812f6f7fe0fccc75d12e76bec0	2bf7e29200e43f63d2313332321eee06a4cbec812f6f7fe0fccc75d12e76bec0	de28e7000377f46915aeabde5685447d629bffde0222c1ada13af44909a61790	1	0	0	1	1	1
clic-validation-015	low-latency	5684412	5684412	5701376	c6e6b56cc341b26466a4a99112dba8b44256a62d633f70297a833d8a965f2615	c6e6b56cc341b26466a4a99112dba8b44256a62d633f70297a833d8a965f2615	dccad6b0651914850233d06db066c7a20342609e080c8be9a10b6daaccff9d73	1	0	0	1	1	1
clic-validation-016	default	5331074	5331074	5331074	e1629d116a2e32a25c9e40b493680c72cac20b791ce0b8fa22d7ee0db3dfa645	e1629d116a2e32a25c9e40b493680c72cac20b791ce0b8fa22d7ee0db3dfa645	e1629d116a2e32a25c9e40b493680c72cac20b791ce0b8fa22d7ee0db3dfa645	1	1	1	1	1	1
clic-validation-016	compact	4555750	4555750	4556150	58f063c0624fced1035134cbbd7080089cf4ebc1751ebf3c75812069bb3e0543	58f063c0624fced1035134cbbd7080089cf4ebc1751ebf3c75812069bb3e0543	b7f3a3b63730b6e1365717852ebc3d5914a9bd873b0130b89958c12ec28e6eb8	1	0	0	1	1	1
clic-validation-016	low-latency	4701704	4701704	4742908	59d8731b778639bb58c6487b5a7ce3bee48e3ed40427e35536f44ea86212d27b	59d8731b778639bb58c6487b5a7ce3bee48e3ed40427e35536f44ea86212d27b	8e97afc5b6260ec7807cf1f6c57ce9b71e8af4db018376401e0699e738021aff	1	0	0	1	1	1
clic-validation-017	default	6910582	6910582	6910582	af59fbfdac61e217c815935b3e4db6d0c49c79bb2590abae2b89f444c099a311	af59fbfdac61e217c815935b3e4db6d0c49c79bb2590abae2b89f444c099a311	af59fbfdac61e217c815935b3e4db6d0c49c79bb2590abae2b89f444c099a311	1	1	1	1	1	1
clic-validation-017	compact	6691500	6691500	6523274	c292ccc118db2a047889d7291ebe886a96df2f9e046caed50ec213ba81521249	c292ccc118db2a047889d7291ebe886a96df2f9e046caed50ec213ba81521249	ea37967876eb4d2f260e298d8952ad7c175239e3930d7f6d4ba12052f063e853	1	0	0	1	1	1
clic-validation-017	low-latency	6719656	6719656	6662152	e179d24b01bbe4e8be5b051880547863c28ab4b30f9c8ab97b2519ece50adece	e179d24b01bbe4e8be5b051880547863c28ab4b30f9c8ab97b2519ece50adece	2764a1f076a61ef5aa9abc09a36142dfb2bb59d227909b7cec9ece2507ac1a26	1	0	0	1	1	1
clic-validation-018	default	5479718	5479718	5479718	8c68dcbbb7b6546083c2d7dbced76e386fb5efd51b168c36336c304f36a351be	8c68dcbbb7b6546083c2d7dbced76e386fb5efd51b168c36336c304f36a351be	8c68dcbbb7b6546083c2d7dbced76e386fb5efd51b168c36336c304f36a351be	1	1	1	1	1	1
clic-validation-018	compact	5115144	5115144	4826202	0cbe2ca85c119e547b298d7a4a5a5a66e9b0e9e54121c827e6259a782fd6baad	0cbe2ca85c119e547b298d7a4a5a5a66e9b0e9e54121c827e6259a782fd6baad	52a1f24b77310ca80a40a3a92fdc95bd34b528fd54a9eeb2a66dfacde5bf2c44	1	0	0	1	1	1
clic-validation-018	low-latency	5118420	5118420	4970974	02cf183ec281c5e4d16e8a594d64dd6b55987bfb7425495a6eb333f12cd4ff18	02cf183ec281c5e4d16e8a594d64dd6b55987bfb7425495a6eb333f12cd4ff18	066f03ba27d043997e7481ec9c3c0777e8e790eb1bf894a5220474e5a2281ea7	1	0	0	1	1	1
clic-validation-019	default	4600256	4600256	4600256	8f258a1ef56f6e51ee39199102d21f2da4905ec7d549f6ea2f3760cb4f3235ed	8f258a1ef56f6e51ee39199102d21f2da4905ec7d549f6ea2f3760cb4f3235ed	8f258a1ef56f6e51ee39199102d21f2da4905ec7d549f6ea2f3760cb4f3235ed	1	1	1	1	1	1
clic-validation-019	compact	5039696	5039696	4783566	25da1388cac1646e9fdcc7c812ed2a11050227bb2e06f3990695f7b5e27ee82e	25da1388cac1646e9fdcc7c812ed2a11050227bb2e06f3990695f7b5e27ee82e	ee61c475eaa04e793d0ede0cf0b1b220411c22b7c4fa9e30a772ba5bf43d5c1b	1	0	0	1	1	1
clic-validation-019	low-latency	5108948	5108948	4966408	2f7d8431ea7fbacf05909e9a0953db42f1d7281df28473d65c3c435ab57621f6	2f7d8431ea7fbacf05909e9a0953db42f1d7281df28473d65c3c435ab57621f6	8ce810a0574ed4dae6a49a13952d3a44eb9ca3e93c9211d21570b7b5f7c2c1e8	1	0	0	1	1	1
clic-validation-020	default	6941342	6941342	6941342	61eb2db42003d707f990a6c6b743a150320ba3a2c8ebec2167153dab1cdacfd3	61eb2db42003d707f990a6c6b743a150320ba3a2c8ebec2167153dab1cdacfd3	61eb2db42003d707f990a6c6b743a150320ba3a2c8ebec2167153dab1cdacfd3	1	1	1	1	1	1
clic-validation-020	compact	6358216	6358216	6211508	d69d02887bb98cccc7d432d850e580f504ca29b96d2bcff1a016c6dd710516e3	d69d02887bb98cccc7d432d850e580f504ca29b96d2bcff1a016c6dd710516e3	2a7a0108f6d4f0bc6b44185b028306e51feaa1ea9f8a41b4964a7d6bc9f37581	1	0	0	1	1	1
clic-validation-020	low-latency	6430820	6430820	6359472	ef2f1dc85ca94255109c18392b95276cf5913be7c241d8bd75634a7331e2c86a	ef2f1dc85ca94255109c18392b95276cf5913be7c241d8bd75634a7331e2c86a	0e1f0adcb1c824eb6e3628f46d31c81a108a88e8ede40753b7db1c426fb37787	1	0	0	1	1	1
clic-validation-021	default	4572734	4572734	4572734	45c3e99e028f0cdb816ae9ecb022ccf614cad222ce01dc99f448a37b35922ade	45c3e99e028f0cdb816ae9ecb022ccf614cad222ce01dc99f448a37b35922ade	45c3e99e028f0cdb816ae9ecb022ccf614cad222ce01dc99f448a37b35922ade	1	1	1	1	1	1
clic-validation-021	compact	4565070	4565070	4600432	91cd202f840c3273274b71c651969e00deb7bd20720355904c1cc3c9ec8d85e9	91cd202f840c3273274b71c651969e00deb7bd20720355904c1cc3c9ec8d85e9	b9fb0287a566fa7018f41521ae2de87801b8d57c5092ad2ee8ce04888c5d303f	1	0	0	1	1	1
clic-validation-021	low-latency	4693378	4693378	4754854	71de9ebf05e1c6fe6e2c2bfc31b7a64164262a807201f36c57fc13ae89758f64	71de9ebf05e1c6fe6e2c2bfc31b7a64164262a807201f36c57fc13ae89758f64	ba96dac1b41048ee86d08a5e7bc9b6f9e9588d1b38a6cfe94c36bc4159b7ff87	1	0	0	1	1	1
clic-validation-022	default	5589618	5589618	5589618	5e51e07028652203b4244e9bd5aeef3baf70d72d3a83926729351643c22b01d2	5e51e07028652203b4244e9bd5aeef3baf70d72d3a83926729351643c22b01d2	5e51e07028652203b4244e9bd5aeef3baf70d72d3a83926729351643c22b01d2	1	1	1	1	1	1
clic-validation-022	compact	5628196	5628196	5217358	f2f8fae7534ab1830765ca7472f4d24faa2743b2f5a7af41416fa4b61ecbd6e2	f2f8fae7534ab1830765ca7472f4d24faa2743b2f5a7af41416fa4b61ecbd6e2	e73eff9c39e73497e7ab5622a3c3f0a38f5dc5d54dcce1e483e34418b783d8cc	1	0	0	1	1	1
clic-validation-022	low-latency	5628318	5628318	5534706	08d8fbf809e8b22cc3105b62013375b0cd9698b2edead085e0a68287aa66a8f7	08d8fbf809e8b22cc3105b62013375b0cd9698b2edead085e0a68287aa66a8f7	634b65c2edb2af140419d682baa1f620f4e05648324bd508f2fd71e602038427	1	0	0	1	1	1
clic-validation-023	default	5744942	5744942	5744942	a221bf3785716e32ca6fd89bb5018fc04579d3f3ebfa247c77a5d68715140e69	a221bf3785716e32ca6fd89bb5018fc04579d3f3ebfa247c77a5d68715140e69	a221bf3785716e32ca6fd89bb5018fc04579d3f3ebfa247c77a5d68715140e69	1	1	1	1	1	1
clic-validation-023	compact	5856188	5856188	5588180	2e86b00ca74f6f69493ce7095cde62ae84e258b75396565cf3e0491286c9e657	2e86b00ca74f6f69493ce7095cde62ae84e258b75396565cf3e0491286c9e657	af33efcf81a5ae5b9e408b7c0c6c71ee33cbf41b8ae6f69f655b0d3336afa609	1	0	0	1	1	1
clic-validation-023	low-latency	5979252	5979252	5700484	223fade43d32695635806387150f73a370475795441f395d2654a5db8e847455	223fade43d32695635806387150f73a370475795441f395d2654a5db8e847455	fa95a9d9666c290f006f6839a5589578fd03d14999e985166c35279edcf7107d	1	0	0	1	1	1
clic-validation-024	default	7019090	7019090	7019090	49221d6724025f176f2c3d97f8b68d3d79a0d70729ecbc016aa79f4433a49891	49221d6724025f176f2c3d97f8b68d3d79a0d70729ecbc016aa79f4433a49891	49221d6724025f176f2c3d97f8b68d3d79a0d70729ecbc016aa79f4433a49891	1	1	1	1	1	1
clic-validation-024	compact	7349344	7349344	7152086	6f0d8854681735eb11a26bc4b0ac4297d98360cb7172bd9f0e2fb38a6dd2816b	6f0d8854681735eb11a26bc4b0ac4297d98360cb7172bd9f0e2fb38a6dd2816b	35cb46dcdb0c734096dca7a03a3bf82d8456632055d0a3557247b90c5ea6c5df	1	0	0	1	1	1
clic-validation-024	low-latency	7363364	7363364	7245928	d8da81edd3132ccae2e5322d87760c0cdd3704374a9b397c72b1ea7ba2f4e469	d8da81edd3132ccae2e5322d87760c0cdd3704374a9b397c72b1ea7ba2f4e469	c1be48f32334386680c2073b1ab40441f9ee943201824eb27119da406f740c62	1	0	0	1	1	1
clic-validation-025	default	8105312	8105312	8105312	390137108afde51bf71245c9389d5a9114ca8f96cdb18e180956e447f812aace	390137108afde51bf71245c9389d5a9114ca8f96cdb18e180956e447f812aace	390137108afde51bf71245c9389d5a9114ca8f96cdb18e180956e447f812aace	1	1	1	1	1	1
clic-validation-025	compact	7869586	7869586	7633234	ee9f8282142bc78b57ce2b133ac4257a82b76723e74340f3b2cb9a94cc3c45b7	ee9f8282142bc78b57ce2b133ac4257a82b76723e74340f3b2cb9a94cc3c45b7	9306bdb7b8a07ad0aabbe99b3293a33bcea916ba0b640857d77428d24b297f50	1	0	0	1	1	1
