
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	signature_differences	assignment_differences	ordered_groups	exact_groups	ordered_candidate_bytes	exact_candidate_bytes	candidate_byte_delta	ordered_product_bytes	exact_product_bytes	product_byte_delta	ordered_candidate_ns	exact_candidate_ns	ordered_product_ns	exact_product_ns	ordered_plan_ns	initialization_ns	update_ns	signature_cluster_ns	merge_ns	update_count	merge_updates	storage_bytes
phase_a	clic-validation-033	compact	2016	1512	3048192	3001838	2986662	15176	0	192	112	154	39	24	8462362	8163720	-298642	8462362	8163720	-298642	73796042	37295167	93391208	56423041	34140000	7958	8531584	392792	139208	11977000	64637	402816
phase_a	clic-validation-033	low-latency	2016	1512	3048192	3001838	2986662	15176	0	48	37	38	16	14	8431672	8502288	70616	8431672	8502288	70616	70421583	34410000	88858084	53440042	33700250	2125	8399917	100750	37584	11977000	22092	201408
phase_a	clic-validation-034	compact	1518	2024	3072432	3060056	3058486	1570	0	192	85	102	26	16	8425850	8448768	22918	8425850	8448768	22918	78936416	38976417	96661375	56415500	38260416	4334	8269375	376375	116583	12237084	44838	402816
phase_a	clic-validation-034	low-latency	1518	2024	3072432	3060056	3058486	1570	0	48	26	34	13	12	8475800	8333568	-142232	8475800	8333568	-142232	77792125	36928750	95194125	54649458	39189917	2250	8476833	96250	33417	12237084	16179	201408
phase_a	clic-validation-035	compact	2024	1518	3072432	2989121	2970006	19115	0	192	92	106	17	13	8124282	8080180	-44102	8124282	8080180	-44102	79267875	37879208	98301000	56942042	39660167	4542	8612459	374584	124042	11918254	42250	402816
phase_a	clic-validation-035	low-latency	2024	1518	3072432	2989121	2970006	19115	0	48	30	29	11	7	8055284	8255042	199758	8055284	8255042	199758	77527666	35815083	98392084	55739417	39700292	2083	8385750	93625	42042	11918254	17354	201408
phase_a	clic-validation-036	compact	1518	2024	3072432	3059087	3054832	4255	0	192	114	141	26	20	7281758	7583970	302212	7281758	7583970	302212	78196250	40315750	96490167	58456375	37641459	8958	8664167	379291	106292	12227838	38395	402816
phase_a	clic-validation-036	low-latency	1518	2024	3072432	3059087	3054832	4255	0	48	33	42	16	12	7368046	7596726	228680	7368046	7596726	228680	76195583	37415042	94167833	55846334	37382791	2084	8525459	98791	30417	12227838	13139	201408
phase_a	clic-validation-037	compact	2024	1518	3072432	3032344	3020929	11415	0	192	85	105	25	24	7772372	7615756	-156616	7772372	7615756	-156616	78355417	37817291	97488125	57341083	39060709	3875	8447417	391750	128875	12106546	40222	402816
phase_a	clic-validation-037	low-latency	2024	1518	3072432	3032344	3020929	11415	0	48	28	31	14	11	7805588	7962198	156610	7805588	7962198	156610	80143292	37412625	99996959	57150000	38885542	2000	8430667	97750	35584	12106546	15163	201408
