
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-001	low-latency	3	14	15	2	34	23	151431	160673	2	4	202542	118959	187250	25042	533958	398084	26667	350125	6208366	6180552	-27814	1	0
p16-step	clic-validation-001	low-latency	4	15	16	12	3	12	125701	171228	2	5	200416	148083	259250	25375	633291	418250	25084	490291	6180552	6169356	-11196	1	0
p16	clic-validation-002	compact	9437184	144	6959	4866583	9434830	304416	3892292	392542	134208	481959	440875	1079250	100000	462958	3997	36936	36936	36936	36936	571272	47427354	5928420	5928440	22	47752881	5969111	5969132	21	47086641	5885831	5885852	22	41776806	5222101	5222122	64	7003512	5799410	R	Split	Split	5222122	c0fa268acccaa876	42	1	1	1
p16-step	clic-validation-002	compact	1	22	23	3	17	40	118618	120383	5	8	356708	236583	465083	96375	1154875	1047500	115084	535000	5885852	5821466	-64386	1	0
p16-step	clic-validation-002	compact	2	23	24	0	78	50	115101	92260	10	16	380917	496292	1071750	94166	2043250	1168916	109042	546625	5821466	5725316	-96150	1	0
p16-step	clic-validation-002	compact	3	24	25	4	24	38	101824	108028	12	2	423333	212625	419042	95250	1150375	1099500	89959	518208	5725316	5625344	-99972	1	0
p16-step	clic-validation-002	compact	4	25	26	6	31	47	94718	94194	1	7	378875	162750	254292	91167	887208	1121375	92167	501542	5625344	5614006	-11338	1	0
p16-step	clic-validation-002	compact	5	26	27	14	96	128	88165	85657	2	2	461916	76750	92541	98958	730458	1219375	87583	546417	5614006	5600242	-13764	1	0
p16-step	clic-validation-002	compact	6	27	28	10	133	130	78089	74267	1	7	383708	146333	240042	88333	858542	1164541	89167	527667	5600242	5591064	-9178	1	0
p16-step	clic-validation-002	compact	7	28	29	8	74	73	67415	61967	3	2	378583	70416	105500	88625	643250	1128291	88500	554083	5591064	5567526	-23538	1	0
p16-step	clic-validation-002	compact	8	29	30	0	77	79	63522	70752	14	1	379875	208667	412750	88459	1089834	1146834	90000	677542	5567526	5531320	-36206	1	0
p16-step	clic-validation-002	compact	9	30	31	23	76	89	62687	57472	1	15	444208	362583	666750	86000	1559625	1178208	89667	606000	5531320	5524068	-7252	1	0
p16-step	clic-validation-002	compact	10	31	32	5	143	140	60128	59982	4	3	398375	115458	201042	87792	802792	1224083	95250	597417	5524068	5496480	-27588	1	0
p16-step	clic-validation-002	compact	11	32	33	26	93	128	50108	50159	1	1	402208	28334	4625	86959	522167	1202500	88584	601708	5496480	5490210	-6270	1	0
p16-step	clic-validation-002	compact	12	33	34	3	17	66	47340	70246	2	3	406917	65917	90083	87458	650500	1376458	116833	704292	5490210	5469090	-21120	1	0
p16-step	clic-validation-002	compact	13	34	35	0	82	85	46902	35924	10	5	481833	211416	379417	91833	1164625	1354541	104792	644334	5469090	5448616	-20474	1	0
p16-step	clic-validation-002	compact	14	35	36	30	112	49	46333	17421	11	4	432375	345792	634583	89375	1502167	1294833	88666	662750	5448616	5419312	-29304	1	0
p16-step	clic-validation-002	compact	15	36	37	2	18	6	42269	60072	1	16	432125	234833	423542	101500	1192125	1490167	119375	793416	5419312	5413758	-5554	1	0
p16-step	clic-validation-002	compact	16	37	38	27	132	130	40114	37951	1	6	468500	128084	207792	100250	904791	1308625	88875	690458	5413758	5409326	-4432	1	0
p16-step	clic-validation-002	compact	17	38	39	7	100	127	39416	38732	2	2	441208	76083	96958	89792	704166	1378250	98750	691500	5409326	5405012	-4314	1	0
p16-step	clic-validation-002	compact	18	39	40	0	113	64	37511	23027	5	5	460666	135667	230333	86833	913583	1402000	98541	860958	5405012	5386988	-18024	1	0
p16-step	clic-validation-002	compact	19	40	41	4	27	19	37249	18853	9	3	509667	162417	288500	96584	1057292	1526709	108417	825833	5386988	5370668	-16320	1	0
p16-step	clic-validation-002	compact	20	41	42	14	96	99	35290	39045	1	1	490917	28291	4667	98833	622708	1379708	89709	742584	5370668	5365788	-4880	1	0
p16-step	clic-validation-002	compact	21	42	43	36	2	15	34878	48639	13	3	464375	210791	399500	106542	1181291	1468875	109167	871291	5365788	5360178	-5610	1	0
p16-step	clic-validation-002	compact	22	43	44	36	2	8	34120	24349	6	7	495375	173916	306667	98708	1074708	1452125	88166	764583	5360178	5330652	-29526	1	0
p16-step	clic-validation-002	compact	23	44	45	1	104	134	32580	27328	6	8	470042	269917	487042	90708	1317750	1458208	95875	776459	5330652	5318108	-12544	1	0
p16-step	clic-validation-002	compact	24	45	46	4	29	23	30617	30341	4	5	481709	114584	191167	87917	875459	1550042	143375	922708	5318108	5296504	-21604	1	0
p16-step	clic-validation-002	compact	25	46	47	38	127	111	28704	25112	1	1	515542	29291	4792	108875	658542	1567584	92834	822958	5296504	5293364	-3140	1	0
p16-step	clic-validation-002	compact	26	47	48	9	55	126	28098	31477	1	2	503875	55125	51458	90250	700750	1530583	89042	830750	5293364	5288606	-4758	1	0
p16-step	clic-validation-002	compact	27	48	49	34	77	86	26723	19201	4	1	511334	62541	88709	89125	751709	1634959	113625	991458	5288606	5284508	-4098	1	0
p16-step	clic-validation-002	compact	28	49	50	30	52	61	26090	17230	9	2	609000	240875	394500	102375	1346875	1683583	99708	929125	5284508	5276306	-8202	1	0
p16-step	clic-validation-002	compact	29	50	51	44	134	109	25065	21945	6	2	544083	146958	246083	89417	1026625	1654083	90375	878916	5276306	5271808	-4498	1	0
p16-step	clic-validation-002	compact	30	51	52	31	139	141	23826	29395	1	2	590917	65291	47917	101833	806042	1869833	120708	954625	5271808	5269402	-2406	1	0
p16-step	clic-validation-002	compact	31	52	53	39	82	83	22868	18811	4	1	545708	62500	87625	91167	787083	1703333	98958	926625	5269402	5266002	-3400	1	0
p16-step	clic-validation-002	compact	32	53	54	42	13	15	22659	19855	2	1	547875	33292	32125	91083	704458	1664208	87833	961208	5266002	5261918	-4084	1	0
