
running 1 test
p17	id	rgba_bytes	shared_prepare_ns	single_bytes	compact_control_bytes	low_control_bytes	r128_blocks	r128_counter_init_ns	r128_counter_update_ns	r128_counter_updates	r128_counter_storage_bytes	r128_e_proposal_ns	r128_b_proposal_ns	r128_e_cost_ns	r128_b_cost_ns	r128_reassignment_ns	r128_rebuild_ns	r128_refined_cost_ns	r128_candidate_selection_ns	r128_e_merge_updates	r128_b_merge_updates	r128_refined_merge_updates	r128_e_groups	r128_b_groups	r128_refined_groups	r128_retained_plan_bytes	r128_winner_plan_bytes	r128_initial	r128_winner	r128_ordered_bytes	r128_e_bits	r128_e_payload_bytes	r128_e_riff_bytes	r128_b_bits	r128_b_payload_bytes	r128_b_riff_bytes	r128_refined_bits	r128_refined_payload_bytes	r128_refined_riff_bytes	r128_winner_bits	r128_winner_payload_bytes	r128_winner_riff_bytes	r128_winner_hash	r256_blocks	r256_counter_init_ns	r256_counter_update_ns	r256_counter_updates	r256_counter_storage_bytes	r256_e_proposal_ns	r256_b_proposal_ns	r256_e_cost_ns	r256_b_cost_ns	r256_reassignment_ns	r256_rebuild_ns	r256_refined_cost_ns	r256_candidate_selection_ns	r256_e_merge_updates	r256_b_merge_updates	r256_refined_merge_updates	r256_e_groups	r256_b_groups	r256_refined_groups	r256_retained_plan_bytes	r256_winner_plan_bytes	r256_initial	r256_winner	r256_ordered_bytes	r256_e_bits	r256_e_payload_bytes	r256_e_riff_bytes	r256_b_bits	r256_b_payload_bytes	r256_b_riff_bytes	r256_refined_bits	r256_refined_payload_bytes	r256_refined_riff_bytes	r256_winner_bits	r256_winner_payload_bytes	r256_winner_riff_bytes	r256_winner_hash	resolution_selection_ns	single_selection_ns	selected_resolution	compact_kind	compact_bytes	compact_hash	public_compact_exact	low_kind	low_bytes	low_hash	public_low_exact	selected_128_matches_compact	maximum_accounted_live_bytes
p17	clic-validation-020	9445376	14330167	6827556	6358216	6430820	160	5292	6060083	9374838	335680	491541	168500	740500	588041	2109458	122000	728750	42	56244	56244	56244	30	24	30	372096	132880	E	R	6358216	50657253	6332157	6332178	50991371	6373922	6373942	49691903	6211488	6211508	49691903	6211488	6211508	cd8ca3773f6ac558	40	2083	5637917	9374838	167840	131042	50583	346625	262250	416791	31750	314750	125	18907	18907	18907	13	10	13	159384	57552	E	R	6430820	51146394	6393300	6393320	52042228	6505279	6505300	50875608	6359451	6359472	50875608	6359451	6359472	8ad30a20954954ed	0	355541	128	128	6211508	cd8ca3773f6ac558	1	128	6211508	cd8ca3773f6ac558	1	1	707776
p17	clic-validation-021	7834368	13250041	5339060	4565070	4693378	130	3958	4980500	7668226	272740	377916	127250	436250	405500	885833	88750	422708	0	25139	25139	25139	22	21	21	283526	93034	B	R	4565070	37942128	4742766	4742786	37762782	4720348	4720368	36803291	4600412	4600432	36803291	4600412	4600432	b61838b80a2f6b2c	35	1875	4918333	7668226	146860	102125	44458	283667	272084	291333	26583	270125	42	9863	9863	9863	13	13	13	172641	57547	B	R	4693378	38548924	4818616	4818636	38377021	4797128	4797148	38038667	4754834	4754854	38038667	4754834	4754854	5c5ba6cd8b05f7ca	0	185125	128	128	4600432	b61838b80a2f6b2c	1	128	4600432	b61838b80a2f6b2c	1	1	556266
p17	clic-validation-022	9445376	15032792	6415554	5628196	5628318	160	4208	5828500	9326994	335680	451667	144125	467541	368208	1524833	119042	455500	125	26010	26010	26010	23	18	23	283616	101912	E	R	5628196	44705480	5588185	5588206	45306647	5663331	5663352	41738692	5217337	5217358	41738692	5217337	5217358	170bf3f75b57a5ac	40	2375	5874500	9326994	167840	119583	49625	290667	219875	367125	30583	276291	0	9837	9837	9837	13	10	13	159384	57552	E	R	5628318	44784153	5598020	5598040	46271421	5783928	5783948	44277476	5534685	5534706	44277476	5534685	5534706	46334efff9e3cd0e	125	238084	128	128	5217358	170bf3f75b57a5ac	1	128	5217358	170bf3f75b57a5ac	1	1	619296
p17	clic-validation-023	9445376	14947125	6765154	5856188	5979252	160	4791	5724584	9405916	335680	498625	158292	777333	653166	2097416	122542	750958	125	38316	38316	38316	36	32	32	442880	141728	B	R	5856188	46316184	5789523	5789544	46122207	5765276	5765296	44705278	5588160	5588180	44705278	5588160	5588180	c3aa95790988458e	40	2291	5790250	9405916	167840	116083	49750	355042	327208	428500	30834	341709	0	12799	12799	12799	16	16	16	212472	70824	B	R	5979252	46672225	5834029	5834050	46149297	5768663	5768684	45603697	5700463	5700484	45603697	5700463	5700484	40d3c4d1ba9b054f	0	206833	128	128	5588180	c3aa95790988458e	1	128	5588180	c3aa95790988458e	1	1	778560
p17	clic-validation-024	12192768	20309375	7803852	7349344	7363364	192	4500	7369584	11783030	402816	520000	169291	498208	516167	1460166	133917	617167	0	44696	44696	44696	25	27	25	341224	110792	E	R	7349344	58898294	7362287	7362308	58990604	7373826	7373846	57216513	7152065	7152086	57216513	7152065	7152086	b7312f92f4752452	48	2125	7368167	11783030	201408	145458	61833	400667	311209	513583	37291	377792	0	14978	14978	14978	16	14	16	203648	70832	E	R	7363364	59477639	7434705	7434726	60039161	7504896	7504916	57967250	7245907	7245928	57967250	7245907	7245928	5d509b5377a7fe35	42	330750	128	128	7152086	b7312f92f4752452	1	128	7152086	b7312f92f4752452	1	1	744040
p17	clic-validation-025	12192768	19727291	8753828	7869586	8063140	192	4292	7388959	11706164	402816	609750	216334	597541	647667	1645833	156958	550416	0	65879	65879	65879	24	27	24	332376	106368	E	R	7869586	63776534	7972067	7972088	64014131	8001767	8001788	61065704	7633213	7633234	61065704	7633213	7633234	2f0845b0a19612fd	48	2208	7402333	11706164	201408	153417	63208	462083	311667	422750	38042	366042	0	21895	21895	21895	16	12	16	194800	70832	E	R	8063140	63654615	7956827	7956848	65273456	8159182	8159202	62755366	7844421	7844442	62755366	7844421	7844442	80699cf21a4d163a	42	1445750	128	128	7633234	2f0845b0a19612fd	1	128	7633234	2f0845b0a19612fd	1	1	735192
p17	clic-validation-026	12451840	22320625	8945248	8259084	8349358	192	5000	8219959	12439888	402816	531458	194459	659958	544709	1586000	136625	564375	42	61095	61095	61095	26	24	24	327952	106368	B	R	8259084	65922479	8240310	8240330	65507945	8188494	8188514	62978333	7872292	7872312	62978333	7872292	7872312	258477aabb21cb59	48	2084	7759666	12439888	201408	140875	64333	377583	365792	436250	33917	363542	0	18992	18992	18992	15	14	15	194800	66408	E	R	8349358	66141533	8267692	8267712	66812762	8351596	8351616	65025300	8128163	8128184	65025300	8128163	8128184	d774e58a6893d1af	42	1652084	128	128	7872312	258477aabb21cb59	1	128	7872312	258477aabb21cb59	1	1	730768
p17	clic-validation-027	11968000	19226417	7990348	6933844	7076126	192	8291	7387750	11910936	402816	512625	164250	277250	254750	747292	105291	289042	42	20780	20780	20780	15	15	15	199656	66552	B	R	6933844	56231199	7028900	7028920	56209934	7026242	7026262	54017597	6752200	6752220	54017597	6752200	6752220	812a3b3aacd31eed	48	2833	7275333	11910936	201408	129167	60959	150917	164875	216625	28125	153333	0	7441	7441	7441	7	8	8	101896	35440	B	R	7076126	57085490	7135687	7135708	56879415	7109927	7109948	54298294	6787287	6787308	54298294	6787287	6787308	cbb20220945dca21	42	260874	128	128	6752220	812a3b3aacd31eed	1	128	6752220	812a3b3aacd31eed	1	1	602472
p17	clic-validation-028	11968000	19325000	7485068	7265392	7360348	192	5083	7287917	11891300	402816	511291	183709	295000	305291	1201500	119792	320750	125	22954	22954	22954	14	16	16	204080	70976	B	R	7265392	58802206	7350276	7350296	57947452	7243432	7243452	54433567	6804196	6804216	54433567	6804196	6804216	5e2c6386fa6749b3	48	2666	7464875	11891300	201408	132583	58292	138542	134208	215833	31333	118875	42	9015	9015	9015	6	6	6	79776	26592	B	R	7360348	58704215	7338027	7338048	58522460	7315308	7315328	55162499	6895313	6895334	55162499	6895313	6895334	86e02f160d517770	42	266209	128	128	6804216	5e2c6386fa6749b3	1	128	6804216	5e2c6386fa6749b3	1	1	606896
p17	clic-validation-029	12192768	21716958	6878640	6107890	6030840	192	4250	7517667	9914778	402816	508333	158209	377875	334291	1191750	159208	366792	125	32188	32188	32188	20	18	18	248320	79824	B	R	6107890	48410238	6051280	6051300	48311474	6038935	6038956	46739902	5842488	5842508	46739902	5842488	5842508	89acbf1956212d89	48	1916	7070000	9914778	201408	145750	58458	255125	258666	359250	34417	266500	0	11866	11866	11866	10	12	12	150560	53136	B	R	6030840	50084803	6260601	6260622	49738981	6217373	6217394	48950742	6118843	6118864	48950742	6118843	6118864	60b590b1ac8feb50	42	236625	128	128	5842508	89acbf1956212d89	1	128	5842508	89acbf1956212d89	1	1	651136
