
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-001	low-latency	1	12	13	0	31	11	216589	227751	5	7	161459	242875	465792	24000	894167	436958	36000	336458	6299146	6232120	-67026	1	0
p16-step	clic-validation-001	low-latency	2	13	14	1	0	18	155983	181161	2	3	200209	96666	139917	25208	462084	416625	25250	293042	6232120	6208366	-23754	1	0
p16-step	clic-validation-001	low-latency	3	14	15	2	34	23	151431	160673	2	4	189958	109542	181458	23500	504541	445625	27250	367333	6208366	6180552	-27814	1	0
p16-step	clic-validation-001	low-latency	4	15	16	12	3	12	125701	171228	2	5	221583	140958	230125	24292	617083	455292	25500	342959	6180552	6169356	-11196	1	0
p16	clic-validation-002	compact	9437184	144	3458	4981542	9434830	304416	3656334	397958	136000	470000	456333	1165250	104708	571792	4081	36936	36936	36936	36936	571272	47427354	5928420	5928440	22	47752881	5969111	5969132	21	47086641	5885831	5885852	22	41776806	5222101	5222122	64	7003512	5799410	R	Split	Split	5222122	c0fa268acccaa876	42	1	1	1
p16-step	clic-validation-002	compact	1	22	23	3	17	40	118618	120383	5	8	390833	236583	509333	103333	1240208	1124917	100709	503834	5885852	5821466	-64386	1	0
p16-step	clic-validation-002	compact	2	23	24	0	78	50	115101	92260	10	16	391375	486625	993208	94333	1965625	1080917	93291	472083	5821466	5725316	-96150	1	0
p16-step	clic-validation-002	compact	3	24	25	4	24	38	101824	108028	12	2	364250	186834	421541	89333	1062000	1158292	110834	534583	5725316	5625344	-99972	1	0
p16-step	clic-validation-002	compact	4	25	26	6	31	47	94718	94194	1	7	395375	152584	287667	106875	942666	1256000	97833	516584	5625344	5614006	-11338	1	0
p16-step	clic-validation-002	compact	5	26	27	14	96	128	88165	85657	2	2	399334	73208	85792	92541	650917	1230125	117625	592834	5614006	5600242	-13764	1	0
p16-step	clic-validation-002	compact	6	27	28	10	133	130	78089	74267	1	7	400625	145208	254042	103875	903792	1204084	96083	515583	5600242	5591064	-9178	1	0
p16-step	clic-validation-002	compact	7	28	29	8	74	73	67415	61967	3	2	389250	68708	100917	97792	656792	1270958	103208	612708	5591064	5567526	-23538	1	0
p16-step	clic-validation-002	compact	8	29	30	0	77	79	63522	70752	14	1	409625	200250	397250	101208	1108458	1164417	107209	543625	5567526	5531320	-36206	1	0
p16-step	clic-validation-002	compact	9	30	31	23	76	89	62687	57472	1	15	399500	364000	609792	89750	1463167	1228125	103208	581083	5531320	5524068	-7252	1	0
p16-step	clic-validation-002	compact	10	31	32	5	143	140	60128	59982	4	3	410333	111959	192458	94375	809167	1324125	105167	707750	5524068	5496480	-27588	1	0
p16-step	clic-validation-002	compact	11	32	33	26	93	128	50108	50159	1	1	469833	34875	4958	99083	608791	1415833	123250	684458	5496480	5490210	-6270	1	0
p16-step	clic-validation-002	compact	12	33	34	3	17	66	47340	70246	2	3	441625	63250	98500	100459	703958	1239584	90834	606209	5490210	5469090	-21120	1	0
p16-step	clic-validation-002	compact	13	34	35	0	82	85	46902	35924	10	5	444459	209417	385875	91417	1131292	1346375	94541	631959	5469090	5448616	-20474	1	0
p16-step	clic-validation-002	compact	14	35	36	30	112	49	46333	17421	11	4	526000	354667	574833	103708	1559375	1458125	97958	698584	5448616	5419312	-29304	1	0
p16-step	clic-validation-002	compact	15	36	37	2	18	6	42269	60072	1	16	473417	238208	431125	108459	1251333	1497000	93083	719750	5419312	5413758	-5554	1	0
p16-step	clic-validation-002	compact	16	37	38	27	132	130	40114	37951	1	6	442500	123750	197208	95958	859542	1322166	108458	663416	5413758	5409326	-4432	1	0
p16-step	clic-validation-002	compact	17	38	39	7	100	127	39416	38732	2	2	609583	79250	94417	91916	875208	1419750	100333	709750	5409326	5405012	-4314	1	0
p16-step	clic-validation-002	compact	18	39	40	0	113	64	37511	23027	5	5	453167	130625	237375	89417	910625	1443916	93917	682167	5405012	5386988	-18024	1	0
p16-step	clic-validation-002	compact	19	40	41	4	27	19	37249	18853	9	3	453833	145709	257709	99166	956458	1367125	106083	706375	5386988	5370668	-16320	1	0
p16-step	clic-validation-002	compact	20	41	42	14	96	99	35290	39045	1	1	465083	22459	4500	91417	583542	1577459	95416	803916	5370668	5365788	-4880	1	0
p16-step	clic-validation-002	compact	21	42	43	36	2	15	34878	48639	13	3	526709	204625	390042	100292	1221750	1449209	95666	720209	5365788	5360178	-5610	1	0
p16-step	clic-validation-002	compact	22	43	44	36	2	8	34120	24349	6	7	489167	180000	311666	125375	1106250	1440041	93000	725041	5360178	5330652	-29526	1	0
p16-step	clic-validation-002	compact	23	44	45	1	104	134	32580	27328	6	8	474250	283709	565459	109792	1433334	1619916	93167	778458	5330652	5318108	-12544	1	0
p16-step	clic-validation-002	compact	24	45	46	4	29	23	30617	30341	4	5	490167	108625	183750	90875	873542	1538625	96333	779084	5318108	5296504	-21604	1	0
p16-step	clic-validation-002	compact	25	46	47	38	127	111	28704	25112	1	1	483541	27792	4625	95666	611666	1591292	94167	805041	5296504	5293364	-3140	1	0
p16-step	clic-validation-002	compact	26	47	48	9	55	126	28098	31477	1	2	578375	80250	74542	112375	845792	1717250	116542	931125	5293364	5288606	-4758	1	0
p16-step	clic-validation-002	compact	27	48	49	34	77	86	26723	19201	4	1	590583	59958	85167	93958	829792	1567833	107958	820208	5288606	5284508	-4098	1	0
p16-step	clic-validation-002	compact	28	49	50	30	52	61	26090	17230	9	2	555500	215208	407833	115708	1294375	1658166	101625	972584	5284508	5276306	-8202	1	0
p16-step	clic-validation-002	compact	29	50	51	44	134	109	25065	21945	6	2	630500	144584	254000	116250	1145416	1826750	110083	940375	5276306	5271808	-4498	1	0
p16-step	clic-validation-002	compact	30	51	52	31	139	141	23826	29395	1	2	586917	56084	53875	126959	823958	1696917	106042	871167	5271808	5269402	-2406	1	0
p16-step	clic-validation-002	compact	31	52	53	39	82	83	22868	18811	4	1	567542	59750	85834	93750	806958	1825375	101583	988083	5269402	5266002	-3400	1	0
p16-step	clic-validation-002	compact	32	53	54	42	13	15	22659	19855	2	1	570667	42250	33292	103875	750208	1714000	96125	936750	5266002	5261918	-4084	1	0
p16-step	clic-validation-002	compact	33	54	55	1	108	117	22285	18902	4	2	547666	104459	159666	93000	904791	1709792	92417	918834	5261918	5257532	-4386	1	0
p16-step	clic-validation-002	compact	34	55	56	34	77	84	20947	11918	3	1	579375	47875	57875	91916	777167	1940917	106666	1105667	5257532	5253894	-3638	1	0
p16-step	clic-validation-002	compact	35	56	57	8	75	69	20800	29542	2	2	666625	50875	58292	108666	884625	1805333	93083	934416	5253894	5248378	-5516	1	0
p16-step	clic-validation-002	compact	36	57	58	39	82	64	19781	13308	2	2	580417	46833	58750	99125	785250	1746000	94750	980666	5248378	5245802	-2576	1	0
p16-step	clic-validation-002	compact	37	58	59	44	134	119	19579	17245	3	3	692042	134000	265291	114500	1205917	1860541	103292	1028875	5245802	5239732	-6070	1	0
p16-step	clic-validation-002	compact	38	59	60	30	52	90	19371	8445	2	7	608917	181000	319750	103833	1213667	1947292	101667	1044209	5239732	5235046	-4686	1	0
p16-step	clic-validation-002	compact	39	60	61	37	131	103	18693	14758	3	2	664167	86708	131208	100666	982917	2052583	114792	1149750	5235046	5231240	-3806	1	0
p16-step	clic-validation-002	compact	40	61	62	4	27	30	18365	17215	2	2	704709	49458	59042	111042	924334	1984167	103083	1082834	5231240	5227726	-3514	1	0
p16-step	clic-validation-002	compact	41	62	63	0	78	97	18079	17517	3	2	658125	65958	91459	103541	919083	2026458	146250	1195708	5227726	5224648	-3078	1	0
p16-step	clic-validation-002	compact	42	63	64	7	100	102	17032	20207	1	1	716542	29125	5125	113375	864250	2160792	111334	1189875	5224648	5222122	-2526	1	0
p16	clic-validation-002	low-latency	9437184	40	13958	4977834	9434830	168480	1220292	133542	56625	281708	281334	319625	36666	255667	1959	13272	13272	13272	13272	243480	48147655	6018457	6018478	13	48655542	6081943	6081964	13	48147655	6018457	6018478	13	46151232	5768904	5768924	16	7003512	5942826	E	Split	Split	5768924	2c8cef912c5c5eea	3	1	1	1
p16-step	clic-validation-002	low-latency	1	13	14	0	18	8	378872	310611	3	6	171291	156958	298583	36667	663583	314833	29417	374292	6018478	5904582	-113896	1	0
p16-step	clic-validation-002	low-latency	2	14	15	6	4	11	357804	425231	2	1	232333	47875	40917	51166	372333	348333	30167	307042	5904582	5804180	-100402	1	0
p16-step	clic-validation-002	low-latency	3	15	16	13	23	8	237264	209420	1	5	223750	122750	183750	26833	557125	324750	38166	326833	5804180	5768924	-35256	1	0
p16	clic-validation-003	compact	9437184	144	3792	4841625	9406614	304416	3846875	407792	147833	501833	697750	1308417	110541	597125	4585	40364	40364	40364	40364	619936	49003124	6125391	6125412	24	48781066	6097634	6097654	26	47573080	5946635	5946656	26	43996650	5499582	5499602	64	6632596	6050450	R	Split	Split	5499602	edafd8cd4efcf311	38	1	1	1
p16-step	clic-validation-003	compact	1	26	27	6	21	84	157762	152016	1	17	418209	329166	646500	87958	1481917	1250708	88208	525375	5946656	5912438	-34218	1	0
p16-step	clic-validation-003	compact	2	27	28	11	14	27	106116	105804	5	10	402375	235625	462584	82542	1183250	1249708	84500	532625	5912438	5884868	-27570	1	0
p16-step	clic-validation-003	compact	3	28	29	24	118	119	98152	95146	1	1	403792	23375	2667	81083	511042	1401542	113125	668542	5884868	5872356	-12512	1	0
p16-step	clic-validation-003	compact	4	29	30	2	126	71	91263	85692	3	9	470875	203958	413000	141167	1229291	1339750	103417	654708	5872356	5842852	-29504	1	0
p16-step	clic-validation-003	compact	5	30	31	4	65	64	86232	81675	2	6	450125	137584	233875	90667	912375	1295875	89250	577750	5842852	5827926	-14926	1	0
p16-step	clic-validation-003	compact	6	31	32	27	26	30	79042	79114	7	5	420542	196500	372416	91667	1081209	1426791	108417	721708	5827926	5817906	-10020	1	0
p16-step	clic-validation-003	compact	7	32	33	2	42	41	77816	73350	6	5	500375	186875	324209	93417	1105042	1522708	99000	675625	5817906	5789372	-28534	1	0
p16-step	clic-validation-003	compact	8	33	34	26	5	84	73772	69949	6	9	474292	287917	543167	86750	1392209	1485084	92250	640917	5789372	5773650	-15722	1	0
p16-step	clic-validation-003	compact	9	34	35	7	0	115	72997	67022	4	6	441917	165083	291625	87458	986167	1526625	113042	820041	5773650	5761928	-11722	1	0
