
running 1 test
phase_b	id	profile	width	height	pixels	blocks	ordered_exact_signature_differences	ordered_coarse_signature_differences	exact_coarse_signature_differences	ordered_exact_assignment_differences	ordered_coarse_assignment_differences	exact_coarse_assignment_differences	ordered_groups	exact_groups	coarse_groups	ordered_product_bytes	exact_product_bytes	coarse_product_bytes	exact_byte_delta	coarse_byte_delta	exact_derivation_ns	coarse_derivation_ns	exact_signature_cluster_ns	coarse_signature_cluster_ns
phase_b	clic-validation-031	low-latency	1512	2016	3048192	48	37	40	16	47	39	46	16	16	13	7277258	7252942	7256042	-24316	-21216	90959	24208	107875	28250
phase_b	clic-validation-032	compact	2016	1512	3048192	192	89	81	28	110	91	74	13	13	10	6915788	6892440	6904172	-23348	-11616	365542	37375	374708	45458
phase_b	clic-validation-032	low-latency	2016	1512	3048192	48	26	25	9	27	24	13	9	7	9	6987574	6909344	7074418	-78230	86844	91167	24292	96000	26458
phase_b	clic-validation-033	compact	2016	1512	3048192	192	112	113	46	154	124	141	39	24	20	8462362	8163720	8617556	-298642	155194	366000	37333	397167	52292
phase_b	clic-validation-033	low-latency	2016	1512	3048192	48	37	37	17	38	39	36	16	14	14	8431672	8502288	8518786	70616	87114	102125	27209	106417	35666
phase_b	clic-validation-034	compact	1518	2024	3072432	192	85	85	33	102	132	91	26	16	17	8425850	8448768	8338684	22918	-87166	361750	37417	375791	50250
phase_b	clic-validation-034	low-latency	1518	2024	3072432	48	26	25	10	34	30	18	13	12	9	8475800	8333568	8468114	-142232	-7686	92042	27500	106834	27083
phase_b	clic-validation-035	compact	2024	1518	3072432	192	92	100	51	106	146	130	17	13	16	8124282	8080180	8009488	-44102	-114794	365042	37125	384500	49000
phase_b	clic-validation-035	low-latency	2024	1518	3072432	48	30	28	15	29	37	32	11	7	9	8055284	8255042	8165506	199758	110222	95000	25292	106959	31084
phase_b	clic-validation-036	compact	1518	2024	3072432	192	114	110	51	141	153	121	26	20	19	7281758	7583970	7237654	302212	-44104	376375	37417	383083	51917
phase_b	clic-validation-036	low-latency	1518	2024	3072432	48	33	31	13	42	45	21	16	12	13	7368046	7596726	7357608	228680	-10438	108875	24250	96084	28084
phase_b	clic-validation-037	compact	2024	1518	3072432	192	85	76	36	105	130	102	25	24	22	7772372	7615756	7725728	-156616	-46644	366208	37292	385334	52625
phase_b	clic-validation-037	low-latency	2024	1518	3072432	48	28	27	15	31	35	28	14	11	12	7805588	7962198	7831084	156610	25496	94333	23916	98167	27958
phase_b	clic-validation-038	compact	1512	2016	3048192	192	129	128	64	187	148	178	37	31	26	8140256	7748200	8027394	-392056	-112862	370083	37833	394583	67917
phase_b	clic-validation-038	low-latency	1512	2016	3048192	48	30	31	15	36	38	41	16	14	12	8129706	8136526	8256032	6820	126326	90834	24083	97958	27500
phase_b	clic-validation-039	compact	1512	2016	3048192	192	110	115	59	142	167	157	29	24	23	7163302	7084842	7231482	-78460	68180	372875	37459	383208	54250
phase_b	clic-validation-039	low-latency	1512	2016	3048192	48	33	29	15	39	42	33	16	16	15	7174990	7122814	7201624	-52176	26634	98875	24125	105333	27750
phase_b	clic-validation-040	compact	2016	1512	3048192	192	92	80	28	152	162	70	20	12	13	6948508	7354336	7128046	405828	179538	384458	38709	393334	49625
phase_b	clic-validation-040	low-latency	2016	1512	3048192	48	28	27	5	47	33	34	12	9	9	7112000	7317914	6854996	205914	-257004	91209	24334	105542	26417
phase_b	clic-validation-041	compact	2016	1512	3048192	192	121	123	65	145	139	104	38	28	18	8085038	8144750	8232052	59712	147014	375625	37625	391750	55209
phase_b	clic-validation-041	low-latency	2016	1512	3048192	48	35	35	20	45	45	20	16	15	10	8245686	8242854	8377402	-2832	131716	96250	24125	96875	26792
phase_b	clic-validation-042	compact	2016	1512	3048192	192	158	154	55	175	174	132	55	37	33	8347186	8445584	8529322	98398	182136	363125	37167	402791	60125
phase_b	clic-validation-042	low-latency	2016	1512	3048192	48	42	42	15	40	44	30	16	14	16	8621620	8751944	8706408	130324	84788	91583	24083	98167	31917
phase_b	clic-validation-043	compact	1518	2024	3072432	192	138	126	63	176	171	137	37	26	25	7924562	7962694	7908992	38132	-15570	366458	40208	396083	55542
phase_b	clic-validation-043	low-latency	1518	2024	3072432	48	39	42	20	44	42	35	16	15	13	8110152	8105494	8125060	-4658	14908	95958	24083	98417	27958
phase_b	clic-validation-044	compact	2024	1518	3072432	192	127	127	75	139	167	148	43	28	29	7873888	7756656	7805958	-117232	-67930	397542	37291	393791	58041
phase_b	clic-validation-044	low-latency	2024	1518	3072432	48	39	38	23	42	44	36	16	16	16	8131272	7815340	7889852	-315932	-241420	90791	24334	97000	28250
phase_b	clic-validation-045	compact	1518	2024	3072432	192	90	88	41	125	106	110	30	25	24	7900172	7806878	7839302	-93294	-60870	360833	37292	381334	54500
phase_b	clic-validation-045	low-latency	1518	2024	3072432	48	30	27	5	32	30	20	12	11	11	8110572	7948892	8004902	-161680	-105670	91291	24250	95250	26666
phase_b	clic-validation-046	compact	2024	1518	3072432	192	121	120	75	137	135	113	51	30	33	7848400	8154956	7957284	306556	108884	381791	45375	389541	65250
phase_b	clic-validation-046	low-latency	2024	1518	3072432	48	35	35	21	32	32	32	16	15	16	7954172	8156776	8111284	202604	157112	91209	24250	96792	28375
phase_b	clic-validation-047	compact	2016	1512	3048192	192	148	150	59	164	164	128	52	46	38	7957054	7959670	8003456	2616	46402	385709	39500	421708	64083
phase_b	clic-validation-047	low-latency	2016	1512	3048192	48	38	38	17	40	43	46	16	16	16	8191412	8344202	8336850	152790	145438	91541	24208	98250	28750
phase_b	clic-validation-048	compact	2024	1518	3072432	192	122	122	52	178	145	128	34	23	21	7906474	7721080	7934016	-185394	27542	383042	39084	396792	55375
phase_b	clic-validation-048	low-latency	2024	1518	3072432	48	34	37	22	43	39	46	16	13	15	7848440	7732856	7706398	-115584	-142042	103166	24208	97125	28000
phase_b	clic-validation-049	compact	2016	1512	3048192	192	119	118	56	156	168	161	46	29	27	7822290	7874610	7977694	52320	155404	399791	38792	406291	58666
phase_b	clic-validation-049	low-latency	2016	1512	3048192	48	37	35	19	46	43	43	16	16	16	8108738	7932096	8012588	-176642	-96150	92208	24292	102750	31334
phase_b	clic-validation-050	compact	1512	2016	3048192	192	141	129	70	173	165	119	39	24	21	7378716	7466748	7383434	88032	4718	379250	39958	385375	52292
phase_b	clic-validation-050	low-latency	1512	2016	3048192	48	38	38	18	45	45	36	16	15	13	7478216	7347126	7433674	-131090	-44542	95500	25458	101875	29209
phase_b	clic-validation-051	compact	2024	1518	3072432	192	157	161	121	180	187	177	51	18	23	8580442	8690650	8606886	110208	26444	375833	38542	400834	55250
phase_b	clic-validation-051	low-latency	2024	1518	3072432	48	38	41	33	40	41	37	16	9	15	8648696	8738362	8610214	89666	-38482	90458	27167	96583	28708
phase_b	clic-validation-052	compact	2024	1518	3072432	192	143	136	55	170	168	86	43	27	22	7718096	7800212	7794866	82116	76770	375459	37292	391625	53125
phase_b	clic-validation-052	low-latency	2024	1518	3072432	48	40	34	13	48	48	25	16	16	13	7997574	7809292	7922894	-188282	-74680	91083	24334	97209	27541
