
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-001	compact	14	39	40	27	136	118	43757	47561	4	2	492625	85041	136375	83834	797916	1605834	87417	722792	5896668	5883576	-13092	1	0
p16-step	clic-validation-001	compact	15	40	41	34	94	1	43756	28897	5	2	499792	150208	210625	112667	973459	1795250	98208	884959	5883576	5879712	-3864	1	0
p16-step	clic-validation-001	compact	16	41	42	10	95	72	42501	33647	1	3	564333	67292	85791	89834	807333	1724209	86833	819250	5879712	5873312	-6400	1	0
p16-step	clic-validation-001	compact	17	42	43	4	33	54	42128	41047	2	3	525875	87666	127542	86667	827833	1704959	91583	793542	5873312	5865692	-7620	1	0
p16-step	clic-validation-001	compact	18	43	44	33	89	52	42075	34829	2	7	639167	181959	294875	93084	1209167	1748375	86042	807209	5865692	5856788	-8904	1	0
p16-step	clic-validation-001	compact	19	44	45	28	128	127	39164	56878	5	1	541916	78500	125792	87541	833791	1740083	100334	842250	5856788	5844814	-11974	1	0
p16-step	clic-validation-001	compact	20	45	46	42	32	67	38646	35561	1	2	546583	45958	44167	103583	740375	1744958	103292	977375	5844814	5838492	-6322	1	0
p16-step	clic-validation-001	compact	21	46	47	12	120	105	38174	34868	1	1	587250	26000	1500	91958	706792	1821209	96208	861375	5838492	5834134	-4358	1	0
p16-step	clic-validation-001	compact	22	47	48	34	94	45	37840	22239	3	2	572625	80250	114916	87792	855625	1801125	87708	863500	5834134	5829392	-4742	1	0
p16-step	clic-validation-001	compact	23	48	49	11	137	112	35000	34394	3	4	574833	106834	174041	97792	953583	1959375	105958	1089083	5829392	5819938	-9454	1	0
