
running 1 test
stream	id	layout	bytes	rgba_hash	stream_hash	encode_ns	project_exact
stream	clic-validation-024	default	7019090	c4f8779afc3c9993	ca818c55ee444c38	169145500	1
stream	clic-validation-024	single	7803852	c4f8779afc3c9993	2b254c8e6f28a585	66111917	1
stream	clic-validation-024	compact	7152086	c4f8779afc3c9993	b7312f92f4752452	60452167	1
stream	clic-validation-024	low-latency	7245928	c4f8779afc3c9993	5d509b5377a7fe35	55967625	1
stream	clic-validation-024	compact-control	7349344	c4f8779afc3c9993	fabb08f2175b9ae9	84199750	1
stream	clic-validation-024	low-latency-control	7363364	c4f8779afc3c9993	382bb2aa62af6523	80442125	1
stream	clic-validation-025	default	8105312	726fd24483d342a3	14064fada69e6df1	163944041	1
stream	clic-validation-025	single	8753828	726fd24483d342a3	88776ca0eb6a5eff	64543791	1
stream	clic-validation-025	compact	7633234	726fd24483d342a3	2f0845b0a19612fd	60186792	1
stream	clic-validation-025	low-latency	7844442	726fd24483d342a3	80699cf21a4d163a	55421292	1
stream	clic-validation-025	compact-control	7869586	726fd24483d342a3	8e2bafa718f19a77	83650958	1
stream	clic-validation-025	low-latency-control	8063140	726fd24483d342a3	7e0fa761ed6d5c04	79822958	1
stream	clic-validation-026	default	8891084	9c668909712280e2	e83172a721992628	130633167	1
stream	clic-validation-026	single	8945248	9c668909712280e2	bdd9b7333c7ec25f	68578708	1
stream	clic-validation-026	compact	7872312	9c668909712280e2	258477aabb21cb59	60154834	1
stream	clic-validation-026	low-latency	8128184	9c668909712280e2	d774e58a6893d1af	55220500	1
stream	clic-validation-026	compact-control	8259084	9c668909712280e2	f45a79434b11b0a8	83945333	1
stream	clic-validation-026	low-latency-control	8349358	9c668909712280e2	10688eb18b045ed4	77693875	1
stream	clic-validation-027	default	5964034	6d7a3d538daf3164	d105f56dc1320a20	163385458	1
stream	clic-validation-027	single	7990348	6d7a3d538daf3164	2f4201b725bd4cff	64793083	1
stream	clic-validation-027	compact	6752220	6d7a3d538daf3164	812a3b3aacd31eed	57086250	1
stream	clic-validation-027	low-latency	6787308	6d7a3d538daf3164	cbb20220945dca21	53662625	1
stream	clic-validation-027	compact-control	6933844	6d7a3d538daf3164	bb6c90c7c8ce176a	86110833	1
stream	clic-validation-027	low-latency-control	7076126	6d7a3d538daf3164	08c61a1a756bc696	81981167	1
stream	clic-validation-028	default	6561444	6ac585fda881c351	c958a95e38a9e533	178375083	1
stream	clic-validation-028	single	7485068	6ac585fda881c351	ad191fb630d37ccb	63228917	1
stream	clic-validation-028	compact	6804216	6ac585fda881c351	5e2c6386fa6749b3	55723291	1
stream	clic-validation-028	low-latency	6895334	6ac585fda881c351	86e02f160d517770	50918625	1
stream	clic-validation-028	compact-control	7265392	6ac585fda881c351	06e5e235e1a82103	81744500	1
stream	clic-validation-028	low-latency-control	7360348	6ac585fda881c351	3288c8c84e053dd9	79108625	1
stream	clic-validation-029	default	6136958	df06568e13cc5010	e19d3f3f0bbf0d48	159256209	1
stream	clic-validation-029	single	6878640	df06568e13cc5010	0579eb1a024fe4c9	62468916	1
stream	clic-validation-029	compact	5842508	df06568e13cc5010	89acbf1956212d89	58390750	1
stream	clic-validation-029	low-latency	6118864	df06568e13cc5010	60b590b1ac8feb50	55128584	1
stream	clic-validation-029	compact-control	6107890	df06568e13cc5010	f3e390306bdceba2	82322042	1
stream	clic-validation-029	low-latency-control	6030840	df06568e13cc5010	0038173aae5c4cbc	80915458	1
stream	clic-validation-030	default	8570450	aaa1f8d564d01733	7978c1986d620158	162972584	1
stream	clic-validation-030	single	8832266	aaa1f8d564d01733	eb4d3c1c482d126b	63946542	1
stream	clic-validation-030	compact	8152722	aaa1f8d564d01733	ef9047f83b596ff3	58727667	1
stream	clic-validation-030	low-latency	8486390	aaa1f8d564d01733	f6ee32706b66ae62	52342750	1
stream	clic-validation-030	compact-control	8257108	aaa1f8d564d01733	b05bd6d94c5eec76	81535750	1
stream	clic-validation-030	low-latency-control	8705786	aaa1f8d564d01733	cce495777e9bf98d	77954084	1
stream	clic-validation-031	default	7531522	13b35a79be3ad589	705e73f85c54bdc5	163359667	1
stream	clic-validation-031	single	8103604	13b35a79be3ad589	dc31525b84c14546	63953750	1
stream	clic-validation-031	compact	7045876	13b35a79be3ad589	745f7d0005ab7419	59250958	1
stream	clic-validation-031	low-latency	7195118	13b35a79be3ad589	d1371667d0f04ecc	55067042	1
stream	clic-validation-031	compact-control	7174330	13b35a79be3ad589	25794fd98a943f36	86230542	1
stream	clic-validation-031	low-latency-control	7277258	13b35a79be3ad589	101739cfd5e60743	82535209	1
stream	clic-validation-032	default	7299398	501e9493c3e82317	9d44bcde25f403ca	163387292	1
stream	clic-validation-032	single	7422746	501e9493c3e82317	0797eed6599391af	69840917	1
stream	clic-validation-032	compact	6791602	501e9493c3e82317	7609aa3cb54ab226	59196083	1
stream	clic-validation-032	low-latency	6870664	501e9493c3e82317	18f339e8226bdfbb	52816333	1
stream	clic-validation-032	compact-control	6915788	501e9493c3e82317	e12aaa37425a5e15	131758500	1
stream	clic-validation-032	low-latency-control	6987574	501e9493c3e82317	2126e8c389111622	79380750	1
stream	clic-validation-033	default	8069182	89041b7b8d7ab9ff	afaf3e0195b4b852	165041333	1
stream	clic-validation-033	single	8987044	89041b7b8d7ab9ff	4da1386652c785c3	64859625	1
stream	clic-validation-033	compact	7922090	89041b7b8d7ab9ff	00fcfd2904e429a6	63587416	1
stream	clic-validation-033	low-latency	8250198	89041b7b8d7ab9ff	507b99ba332e273c	53821333	1
stream	clic-validation-033	compact-control	8462362	89041b7b8d7ab9ff	b152258efbfb45be	84465542	1
stream	clic-validation-033	low-latency-control	8431672	89041b7b8d7ab9ff	5214c4c49c246a83	78922125	1
