
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-001	compact	25	50	51	26	7	6	34071	28547	4	1	690916	90708	118167	84500	984375	1945834	110084	959000	5815760	5813814	-1946	1	0
p16-step	clic-validation-001	compact	26	51	52	18	19	23	33281	33671	1	1	595250	14250	833	93041	703500	1866375	113542	984000	5813814	5809606	-4208	1	0
p16-step	clic-validation-001	compact	27	52	53	43	43	52	32244	25426	6	4	597500	195625	341625	87333	1222209	2133875	87000	1154958	5809606	5791956	-17650	1	0
p16-step	clic-validation-001	compact	28	53	54	2	142	66	31672	50570	4	1	694292	97000	118625	93500	1003458	2045000	85333	1015334	5791956	5786374	-5582	1	0
p16-step	clic-validation-001	compact	29	54	55	26	7	116	30705	22481	3	1	626416	58417	74000	85458	844416	1961917	88167	1229583	5786374	5779058	-7316	1	0
p16-step	clic-validation-001	compact	30	55	56	30	85	71	29727	39373	2	7	715709	215708	360125	113000	1404709	2242500	98792	1236542	5779058	5775042	-4016	1	0
p16-step	clic-validation-001	compact	31	56	57	38	15	50	28749	22290	3	1	771000	57083	74625	111083	1013917	2144875	96542	1152625	5775042	5770218	-4824	1	0
p16-step	clic-validation-001	compact	32	57	58	29	74	22	28577	21028	2	1	741541	47084	44916	99209	932791	2058875	86417	1079375	5770218	5764076	-6142	1	0
p16-step	clic-validation-001	compact	33	58	59	28	128	133	27349	25232	2	3	682250	64000	96625	93000	935959	2093209	94750	1149334	5764076	5760102	-3974	1	0
p16-step	clic-validation-001	compact	34	59	60	2	142	80	27063	22484	1	3	681125	58833	83708	86709	910500	2386084	100500	1268125	5760102	5757006	-3096	1	0
p16-step	clic-validation-001	compact	35	60	61	48	112	113	25856	21971	1	3	796667	63334	108500	100417	1069042	2102958	93125	1149708	5757006	5754260	-2746	1	0
p16-step	clic-validation-001	compact	36	61	62	14	88	73	24911	20345	1	1	702625	27375	1083	103791	835000	2330625	93750	1244416	5754260	5751718	-2542	1	0
p16-step	clic-validation-001	compact	37	62	63	7	110	124	24644	28413	2	2	728666	57333	74583	99375	960125	2145333	92541	1200709	5751718	5746360	-5358	1	0
p16-step	clic-validation-001	compact	38	63	64	30	26	85	24359	22543	2	1	724291	46917	45167	84917	901375	2237792	117708	1415292	5746360	5742976	-3384	1	0
p16	clic-validation-001	low-latency	9437184	40	2875	4915084	9398430	168480	1335166	123958	57542	286958	249834	314375	22959	272416	1835	16334	16334	16334	16334	225784	50528909	6316114	6316134	12	50661167	6332646	6332666	11	50393004	6299126	6299146	12	49354678	6169335	6169356	16	6492644	6309214	R	Split	Split	6169356	3feec2167c55bb2d	4	1	1	1
p16-step	clic-validation-001	low-latency	1	12	13	0	31	11	216589	227751	5	7	172666	262208	482292	25792	943083	347208	24250	273416	6299146	6232120	-67026	1	0
p16-step	clic-validation-001	low-latency	2	13	14	1	0	18	155983	181161	2	3	169125	140500	160000	32541	502291	419875	28125	336833	6232120	6208366	-23754	1	0
p16-step	clic-validation-001	low-latency	3	14	15	2	34	23	151431	160673	2	4	206917	116458	201541	32459	557458	394125	29875	346667	6208366	6180552	-27814	1	0
p16-step	clic-validation-001	low-latency	4	15	16	12	3	12	125701	171228	2	5	205541	144208	292292	24791	666916	407250	23125	342917	6180552	6169356	-11196	1	0
p16	clic-validation-002	compact	9437184	144	7917	5269916	9434830	304416	3995083	436541	123250	541500	492208	1181792	93667	514208	4040	36936	36936	36936	36936	571272	47427354	5928420	5928440	22	47752881	5969111	5969132	21	47086641	5885831	5885852	22	41776806	5222101	5222122	64	7003512	5799410	R	Split	Split	5222122	c0fa268acccaa876	42	1	1	1
