
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	groups	candidate_won	production_exact	residual_ns	tokenization_ns	block_census_ns	seed_rank_assign_ns	group_frequency_ns	table_build_ns	packed_writer_ns	wrap_compare_ns	bytes	stream_hash
phase_a	clic-validation-026	compact	1520	2048	3112960	3110495	3109449	1046	0	192	37	1	1	7777292	12957917	28609917	35541	9578833	2506208	41821167	218333	8259084	f45a79434b11b0a8
phase_a	clic-validation-026	low-latency	1520	2048	3112960	3110495	3109449	1046	0	48	16	1	1	7751417	10087875	27082500	14958	9038791	2052708	39647917	156167	8349358	10688eb18b045ed4
phase_a	clic-validation-027	compact	1496	2000	2992000	2980276	2975192	5084	0	192	20	1	1	7314458	10774834	32705416	20792	9103584	2054625	40288416	145958	6933844	bb6c90c7c8ce176a
phase_a	clic-validation-027	low-latency	1496	2000	2992000	2980276	2975192	5084	0	48	10	1	1	7151208	10591292	32903084	7084	8834750	1861084	38435125	155833	7076126	08c61a1a756bc696
phase_a	clic-validation-028	compact	2000	1496	2992000	2976290	2969360	6930	0	192	16	1	1	7372583	11339000	30565500	15833	9138458	1908875	40193125	161500	7265392	06e5e235e1a82103
phase_a	clic-validation-028	low-latency	2000	1496	2992000	2976290	2969360	6930	0	48	6	1	1	7414750	10966375	30408417	5458	8838042	1748583	37639167	155917	7360348	3288c8c84e053dd9
phase_a	clic-validation-029	compact	1512	2016	3048192	2537893	2419496	118397	0	192	24	1	1	7708333	12938500	27504333	25208	10047750	2030042	34863000	128500	6107890	f3e390306bdceba2
phase_a	clic-validation-029	low-latency	1512	2016	3048192	2537893	2419496	118397	0	48	16	1	1	7452208	13419250	27152792	8583	9763667	2104791	33914791	127000	6030840	0038173aae5c4cbc
phase_a	clic-validation-030	compact	2000	1496	2992000	2949694	2936137	13557	0	192	51	1	1	7290000	10492666	29119541	41167	9048542	3148542	38475959	159542	8257108	b05bd6d94c5eec76
phase_a	clic-validation-030	low-latency	2000	1496	2992000	2949694	2936137	13557	0	48	16	1	1	7234250	10739750	29156584	11458	9023708	1978708	37169708	193750	8705786	cce495777e9bf98d
phase_a	clic-validation-031	compact	1512	2016	3048192	2947066	2933749	13317	0	192	30	1	1	7729000	11264334	32536709	32000	9483333	2302833	39665208	156958	7174330	25794fd98a943f36
phase_a	clic-validation-031	low-latency	1512	2016	3048192	2947066	2933749	13317	0	48	16	1	1	7316250	11318792	32369292	8375	8657750	2054792	38778959	137250	7277258	101739cfd5e60743
phase_a	clic-validation-032	compact	2016	1512	3048192	2992912	2972925	19987	0	192	13	1	1	7460750	12136417	28127333	20042	9574125	1878917	39274000	154041	6915788	e12aaa37425a5e15
phase_a	clic-validation-032	low-latency	2016	1512	3048192	2992912	2972925	19987	0	48	9	1	1	7798750	12063250	27469500	4500	9260375	1974541	37537917	129375	6987574	2126e8c389111622
phase_a	clic-validation-033	compact	2016	1512	3048192	3001838	2986662	15176	0	192	39	1	1	7468375	11098541	29492875	44292	9378417	2692416	39480625	180667	8462362	b152258efbfb45be
phase_a	clic-validation-033	low-latency	2016	1512	3048192	3001838	2986662	15176	0	48	16	1	1	7766500	11520959	29227416	25542	9501750	2254583	38567459	171584	8431672	5214c4c49c246a83
phase_a	clic-validation-034	compact	1518	2024	3072432	3060056	3058486	1570	0	192	26	1	1	7724000	9715958	35049709	25709	9505084	2259417	40203000	155292	8425850	c60a77ee228fbe0f
phase_a	clic-validation-034	low-latency	1518	2024	3072432	3060056	3058486	1570	0	48	13	1	1	7477625	10124625	34138291	7667	9166167	2015542	38968458	158916	8475800	8c9291363f667e1b
phase_a	clic-validation-035	compact	2024	1518	3072432	2989121	2970006	19115	0	192	17	1	1	7422416	11254250	36094791	19125	9432708	2062000	40455000	174084	8124282	0935beeb6715c7da
phase_a	clic-validation-035	low-latency	2024	1518	3072432	2989121	2970006	19115	0	48	11	1	1	7722125	11885792	36539416	7333	9348375	2029416	38740042	158541	8055284	412e6979ef098033
phase_a	clic-validation-036	compact	1518	2024	3072432	3059087	3054832	4255	0	192	26	1	1	7611041	10833666	33609416	32750	9428167	2355042	41510250	137042	7281758	dbba36b7f776979d
phase_a	clic-validation-036	low-latency	1518	2024	3072432	3059087	3054832	4255	0	48	16	1	1	7437125	10505958	33196042	8625	8973625	2033333	39757250	135000	7368046	85cf78c6599ce065
phase_a	clic-validation-037	compact	2024	1518	3072432	3032344	3020929	11415	0	192	25	1	1	7550750	11179459	35561583	42417	9515208	2250042	40104833	147208	7772372	5d2756e807704ab1
phase_a	clic-validation-037	low-latency	2024	1518	3072432	3032344	3020929	11415	0	48	14	1	1	7795583	10894000	34780459	8042	8984292	1825416	39142292	152375	7805588	0c2c1cf96dc34b0a
phase_a	clic-validation-038	compact	1512	2016	3048192	2948506	2934202	14304	0	192	37	1	1	7540791	11359375	30492709	31834	9330834	2541500	39812000	167542	8140256	16c4160b4af1b939
phase_a	clic-validation-038	low-latency	1512	2016	3048192	2948506	2934202	14304	0	48	16	1	1	7522084	10981583	30361792	9000	8982500	2043125	38426250	203459	8129706	d882db21b5bd96f3
phase_a	clic-validation-039	compact	1512	2016	3048192	2913616	2904353	9263	0	192	29	1	1	7465000	10436000	31521333	30917	9109875	2270708	40037000	169250	7163302	71b90b977929d8ff
phase_a	clic-validation-039	low-latency	1512	2016	3048192	2913616	2904353	9263	0	48	16	1	1	7657208	10456042	30971667	9625	8720792	2102083	37944042	134500	7174990	db4ccf38a773a2bc
phase_a	clic-validation-040	compact	2016	1512	3048192	3002751	2990300	12451	0	192	20	1	1	7558375	11156583	31941541	21042	9490166	2124625	39810875	168917	6948508	4ebc4f813c05112a
phase_a	clic-validation-040	low-latency	2016	1512	3048192	3002751	2990300	12451	0	48	12	1	1	7476750	11044125	31673875	8083	8998792	1889541	39095292	130292	7112000	c32e1fa0c6d2c711
phase_a	clic-validation-041	compact	2016	1512	3048192	3033006	3027933	5073	0	192	38	1	1	7697625	10285791	34489416	41958	9587083	2499584	40855584	226875	8085038	5c31e4ccd8c92e01
phase_a	clic-validation-041	low-latency	2016	1512	3048192	3033006	3027933	5073	0	48	16	1	1	7536042	10296666	34390875	9583	8950875	2075583	39443667	156250	8245686	e55ff5943d94f4a2
phase_a	clic-validation-042	compact	2016	1512	3048192	3036434	3032265	4169	0	192	55	1	1	7563167	10283000	32077166	45125	9669875	2898916	41171417	168667	8347186	66c9b9f979182a86
phase_a	clic-validation-042	low-latency	2016	1512	3048192	3036434	3032265	4169	0	48	16	1	1	7273667	9961041	32330792	10084	9097375	2104916	39971417	160000	8621620	31b92d06196bd103
phase_a	clic-validation-043	compact	1518	2024	3072432	3061802	3057913	3889	0	192	37	1	1	7347166	10547750	35257708	42541	9572083	2408958	41170875	140583	7924562	f3ab0d02363f8810
phase_a	clic-validation-043	low-latency	1518	2024	3072432	3061802	3057913	3889	0	48	16	1	1	7577250	10444042	35311167	10083	9063583	2256125	40009833	170541	8110152	b2780ef698aadaf1
phase_a	clic-validation-044	compact	2024	1518	3072432	3044179	3037259	6920	0	192	43	1	1	7592167	10640417	30177709	49000	9481708	2573125	41518917	143709	7873888	22adbf6c7dcf765f
phase_a	clic-validation-044	low-latency	2024	1518	3072432	3044179	3037259	6920	0	48	16	1	1	7510833	10661833	29990666	12875	9078833	2217208	39859000	183542	8131272	3e125060d34e1115
phase_a	clic-validation-045	compact	1518	2024	3072432	3056611	3052706	3905	0	192	30	1	1	7530000	10585500	35554292	26625	9376000	2343250	40692334	153459	7900172	1e710a98f0e62d32
phase_a	clic-validation-045	low-latency	1518	2024	3072432	3056611	3052706	3905	0	48	12	1	1	7590459	10482084	35420667	12334	8914167	1913458	39331000	153541	8110572	5385a9c2b4241a6b
phase_a	clic-validation-046	compact	2024	1518	3072432	3048569	3043029	5540	0	192	51	1	1	13924667	23348791	39747208	46625	9439875	2736959	45713375	162000	7848400	9157d174b7537ea2
phase_a	clic-validation-046	low-latency	2024	1518	3072432	3048569	3043029	5540	0	48	16	1	1	7517542	10821958	31401542	9125	8942167	2105291	39072959	145083	7954172	dc84bc7479e6314e
