
running 1 test
exact	id	profile	bytes	stream_hash	predicted_bits	written_bits	predicted_payload_bytes	predicted_riff_bytes	single_actual_riff_bytes	estimate_exact	losing_single_main_written	estimator_fallback	candidate_won	control_exact
exact	clic-validation-042	compact	8347186	66c9b9f979182a86	72837914	72837914	9104740	9104760	9104760	1	0	0	1	1
exact	clic-validation-042	low-latency	8621620	31b92d06196bd103	72837914	72837914	9104740	9104760	9104760	1	0	0	1	1
exact	clic-validation-043	compact	7924562	f3ab0d02363f8810	72544221	72544221	9068028	9068048	9068048	1	0	0	1	1
exact	clic-validation-043	low-latency	8110152	b2780ef698aadaf1	72544221	72544221	9068028	9068048	9068048	1	0	0	1	1
exact	clic-validation-044	compact	7873888	22adbf6c7dcf765f	69237829	69237829	8654729	8654750	8654750	1	0	0	1	1
exact	clic-validation-044	low-latency	8131272	3e125060d34e1115	69237829	69237829	8654729	8654750	8654750	1	0	0	1	1
exact	clic-validation-045	compact	7900172	1e710a98f0e62d32	67762802	67762802	8470351	8470372	8470372	1	0	0	1	1
exact	clic-validation-045	low-latency	8110572	5385a9c2b4241a6b	67762802	67762802	8470351	8470372	8470372	1	0	0	1	1
exact	clic-validation-046	compact	7848400	9157d174b7537ea2	70240484	70240484	8780061	8780082	8780082	1	0	0	1	1
exact	clic-validation-046	low-latency	7954172	dc84bc7479e6314e	70240484	70240484	8780061	8780082	8780082	1	0	0	1	1
exact	clic-validation-047	compact	7957054	946ad2afdb6f128c	71197242	71197242	8899656	8899676	8899676	1	0	0	1	1
exact	clic-validation-047	low-latency	8191412	3bf25bdece1d9287	71197242	71197242	8899656	8899676	8899676	1	0	0	1	1
exact	clic-validation-048	compact	7906474	fde4f17e259d3ea7	67096729	67096729	8387092	8387112	8387112	1	0	0	1	1
exact	clic-validation-048	low-latency	7848440	5ef837660d6a9be4	67096729	67096729	8387092	8387112	8387112	1	0	0	1	1
exact	clic-validation-049	compact	7822290	1af2f745efbcd0a1	70516754	70516754	8814595	8814616	8814616	1	0	0	1	1
exact	clic-validation-049	low-latency	8108738	9318ded65bfad8db	70516754	70516754	8814595	8814616	8814616	1	0	0	1	1
exact	clic-validation-050	compact	7378716	f3471e5f5f5368ed	65249111	65249111	8156139	8156160	8156160	1	0	0	1	1
exact	clic-validation-050	low-latency	7478216	9b2252deaf3aaede	65249111	65249111	8156139	8156160	8156160	1	0	0	1	1
exact	clic-validation-051	compact	8580442	0e60d4b7f49b078a	73421559	73421559	9177695	9177716	9177716	1	0	0	1	1
exact	clic-validation-051	low-latency	8648696	0163d8d4eda3311b	73421559	73421559	9177695	9177716	9177716	1	0	0	1	1
exact	clic-validation-052	compact	7718096	e7ee77236c497597	68916807	68916807	8614601	8614622	8614622	1	0	0	1	1
exact	clic-validation-052	low-latency	7997574	dfc55b1cbdc781b8	68916807	68916807	8614601	8614622	8614622	1	0	0	1	1
exact	clic-validation-053	compact	7672802	46fa782cc9e95d80	64394635	64394635	8049330	8049350	8049350	1	0	0	1	1
exact	clic-validation-053	low-latency	7683910	7a7d572313b0908c	64394635	64394635	8049330	8049350	8049350	1	0	0	1	1
exact	clic-validation-054	compact	7105098	e2dc8d6b7d449bd1	65315675	65315675	8164460	8164480	8164480	1	0	0	1	1
exact	clic-validation-054	low-latency	7334782	e144efa73bdd5386	65315675	65315675	8164460	8164480	8164480	1	0	0	1	1
exact	clic-validation-055	compact	7806344	319c8bc631d8e3c5	67620513	67620513	8452565	8452586	8452586	1	0	0	1	1
exact	clic-validation-055	low-latency	7568426	a8f3c529eb969d66	67620513	67620513	8452565	8452586	8452586	1	0	0	1	1
exact	clic-validation-056	compact	5090268	6aafc02c59cdc96d	43989895	43989895	5498737	5498758	5498758	1	0	0	1	1
exact	clic-validation-056	low-latency	5167842	4c98d5b956b4dd89	43989895	43989895	5498737	5498758	5498758	1	0	0	1	1
exact	clic-validation-057	compact	5021628	8a91fd978f9e20ae	45227471	45227471	5653434	5653454	5653454	1	0	0	1	1
exact	clic-validation-057	low-latency	5152288	9e66e442c3a7008d	45227471	45227471	5653434	5653454	5653454	1	0	0	1	1
exact	clic-validation-058	compact	4943622	f0d98ea340e5cc36	42975322	42975322	5371916	5371936	5371936	1	0	0	1	1
exact	clic-validation-058	low-latency	4935030	c9a567ae5428fb24	42975322	42975322	5371916	5371936	5371936	1	0	0	1	1
exact	clic-validation-059	compact	3595402	69adcfc255381ad9	31911671	31911671	3988959	3988980	3988980	1	0	0	1	1
exact	clic-validation-059	low-latency	3675422	a52385b5f9ece816	31911671	31911671	3988959	3988980	3988980	1	0	0	1	1
exact	clic-validation-060	compact	4515910	7078bde68f18facd	38963266	38963266	4870409	4870430	4870430	1	0	0	1	1
exact	clic-validation-060	low-latency	4575774	054b76e5a1cdac46	38963266	38963266	4870409	4870430	4870430	1	0	0	1	1
exact	clic-validation-061	compact	7438600	6fb544971c631800	62059617	62059617	7757453	7757474	7757474	1	0	0	1	1
exact	clic-validation-061	low-latency	7429254	fa2702cc5aaf2ddb	62059617	62059617	7757453	7757474	7757474	1	0	0	1	1
exact	clic-validation-062	compact	6121602	3b8b548c5a6bbb91	52768110	52768110	6596014	6596034	6596034	1	0	0	1	1
exact	clic-validation-062	low-latency	6162162	2fa0fd35233306cc	52768110	52768110	6596014	6596034	6596034	1	0	0	1	1
exact	clic-validation-063	compact	6445414	41c775829e8b5abc	55632921	55632921	6954116	6954136	6954136	1	0	0	1	1
exact	clic-validation-063	low-latency	6534318	b29de0471512ce00	55632921	55632921	6954116	6954136	6954136	1	0	0	1	1
exact	clic-validation-064	compact	7719328	70798c125f7a0677	66126533	66126533	8265817	8265838	8265838	1	0	0	1	1
exact	clic-validation-064	low-latency	7878280	5a610d2a29025872	66126533	66126533	8265817	8265838	8265838	1	0	0	1	1
exact	clic-validation-065	compact	6898214	fd7603d18be8a42d	60245012	60245012	7530627	7530648	7530648	1	0	0	1	1
exact	clic-validation-065	low-latency	6856728	26f38f7f8712f763	60245012	60245012	7530627	7530648	7530648	1	0	0	1	1
exact	clic-validation-066	compact	3437954	6d29c0af326ae338	32056442	32056442	4007056	4007076	4007076	1	0	0	1	1
exact	clic-validation-066	low-latency	3463560	2c6ff3c287bff9bd	32056442	32056442	4007056	4007076	4007076	1	0	0	1	1
exact	clic-validation-067	compact	7149540	f86f38b425bbb9ae	62377917	62377917	7797240	7797260	7797260	1	0	0	1	1
exact	clic-validation-067	low-latency	7399782	d72b4c7cdf857515	62377917	62377917	7797240	7797260	7797260	1	0	0	1	1
exact	clic-validation-068	compact	7005466	4cb7385c0a5f6638	64036412	64036412	8004552	8004572	8004572	1	0	0	1	1
exact	clic-validation-068	low-latency	7198452	7a84e73f79b0fdc3	64036412	64036412	8004552	8004572	8004572	1	0	0	1	1
exact	clic-validation-069	compact	6211560	99d66288192faf0e	56272434	56272434	7034055	7034076	7034076	1	0	0	1	1
exact	clic-validation-069	low-latency	6218740	6b8bb6e5888b580f	56272434	56272434	7034055	7034076	7034076	1	0	0	1	1
exact	clic-validation-070	compact	7163008	8a0ef1ddf72b58c1	60778323	60778323	7597291	7597312	7597312	1	0	0	1	1
exact	clic-validation-070	low-latency	7230868	75e2af3b24d7903e	60778323	60778323	7597291	7597312	7597312	1	0	0	1	1
exact	clic-validation-071	compact	3221288	52e297ec31cd7584	28121230	28121230	3515154	3515174	3515174	1	0	0	1	1
exact	clic-validation-071	low-latency	3213510	97871cdbb7768cd6	28121230	28121230	3515154	3515174	3515174	1	0	0	1	1
exact	clic-validation-072	compact	5618140	77a18569b2fbc676	55167640	55167640	6895955	6895976	6895976	1	0	0	1	1
exact	clic-validation-072	low-latency	5704026	516c79a825b68689	55167640	55167640	6895955	6895976	6895976	1	0	0	1	1
exact	clic-validation-073	compact	7178514	cdbc635b3c0e390d	59874871	59874871	7484359	7484380	7484380	1	0	0	1	1
exact	clic-validation-073	low-latency	7211752	8da5fa55b485fee4	59874871	59874871	7484359	7484380	7484380	1	0	0	1	1
exact	clic-validation-074	compact	5322948	816ee3f0f9174443	44198044	44198044	5524756	5524776	5524776	1	0	0	1	1
exact	clic-validation-074	low-latency	5084390	203b103a681adcf1	44198044	44198044	5524756	5524776	5524776	1	0	0	1	1
exact	clic-validation-075	compact	7194564	43d16d3a3736d65c	61667118	61667118	7708390	7708410	7708410	1	0	0	1	1
exact	clic-validation-075	low-latency	7239090	9b661c90bc2b4c19	61667118	61667118	7708390	7708410	7708410	1	0	0	1	1
exact	clic-validation-076	compact	6453086	d50d78d82fc01862	58518433	58518433	7314805	7314826	7314826	1	0	0	1	1
exact	clic-validation-076	low-latency	6423696	3289d9488447ed8a	58518433	58518433	7314805	7314826	7314826	1	0	0	1	1
exact	clic-validation-077	compact	5599902	4948a51b99e4ca0a	48877488	48877488	6109686	6109706	6109706	1	0	0	1	1
exact	clic-validation-077	low-latency	5607562	4de4d8e62d041f24	48877488	48877488	6109686	6109706	6109706	1	0	0	1	1
exact	clic-validation-078	compact	5704512	2a255306a6fe5cec	50762955	50762955	6345370	6345390	6345390	1	0	0	1	1
exact	clic-validation-078	low-latency	5829980	c437b08a4f9b00b6	50762955	50762955	6345370	6345390	6345390	1	0	0	1	1
exact	clic-validation-079	compact	4473714	4e5ed975a9486b76	38931874	38931874	4866485	4866506	4866506	1	0	0	1	1
exact	clic-validation-079	low-latency	4555170	519953d348b80b9f	38931874	38931874	4866485	4866506	4866506	1	0	0	1	1
exact	clic-validation-080	compact	6574580	c83bdb93ed87567b	55714301	55714301	6964288	6964308	6964308	1	0	0	1	1
exact	clic-validation-080	low-latency	6602440	9b06469307d8ff2d	55714301	55714301	6964288	6964308	6964308	1	0	0	1	1
exact	clic-validation-081	compact	5779970	717ef9481eeae3d0	50286822	50286822	6285853	6285874	6285874	1	0	0	1	1
exact	clic-validation-081	low-latency	5682374	ce218abaae12020d	50286822	50286822	6285853	6285874	6285874	1	0	0	1	1
exact	clic-validation-082	compact	1512228	02853bd040c61d92	12368077	12368077	1546010	1546030	1546030	1	0	0	1	1
exact	clic-validation-082	low-latency	1515288	0b4d53409a18d975	12368077	12368077	1546010	1546030	1546030	1	0	0	1	1
exact	clic-validation-083	compact	6906868	42f17e9711bffacd	60736617	60736617	7592078	7592098	7592098	1	0	0	1	1
exact	clic-validation-083	low-latency	6884388	7ed07fe066d325d7	60736617	60736617	7592078	7592098	7592098	1	0	0	1	1
exact	clic-validation-084	compact	5985856	b4715256de77ae39	53162186	53162186	6645274	6645294	6645294	1	0	0	1	1
exact	clic-validation-084	low-latency	6003064	0a6e01e57f00aae6	53162186	53162186	6645274	6645294	6645294	1	0	0	1	1
exact	clic-validation-085	compact	1935310	3bb7c8c455c4d0e0	17207577	17207577	2150948	2150968	2150968	1	0	0	1	1
exact	clic-validation-085	low-latency	1954892	042a6310fb0cd0bb	17207577	17207577	2150948	2150968	2150968	1	0	0	1	1
exact	clic-validation-086	compact	6780836	1e743676e5ace115	61451952	61451952	7681494	7681514	7681514	1	0	0	1	1
exact	clic-validation-086	low-latency	6923612	e6ac948487479676	61451952	61451952	7681494	7681514	7681514	1	0	0	1	1
exact	clic-validation-087	compact	1235750	42e2672672562a7e	10262380	10262380	1282798	1282818	1282818	1	0	0	1	1
exact	clic-validation-087	low-latency	1252050	3d11aaacbd06d067	10262380	10262380	1282798	1282818	1282818	1	0	0	1	1
exact	clic-validation-088	compact	3237528	24045ef691bd1794	29191423	29191423	3648928	3648948	3648948	1	0	0	1	1
exact	clic-validation-088	low-latency	3293512	6f821c62cd11c834	29191423	29191423	3648928	3648948	3648948	1	0	0	1	1
exact	clic-validation-089	compact	6517422	28de7a31d88dd994	57114876	57114876	7139360	7139380	7139380	1	0	0	1	1
exact	clic-validation-089	low-latency	6529714	b2c2023de64d19af	57114876	57114876	7139360	7139380	7139380	1	0	0	1	1
exact	clic-validation-090	compact	6442454	7b0cb344ee6cef72	58192455	58192455	7274057	7274078	7274078	1	0	0	1	1
exact	clic-validation-090	low-latency	6588194	cf044e2f8eb01e32	58192455	58192455	7274057	7274078	7274078	1	0	0	1	1
exact	clic-validation-091	compact	457864	8d5a6ee6f3150327	4102764	4102764	512846	512866	512866	1	0	0	1	1
exact	clic-validation-091	low-latency	486686	b23e7aa91be6cff4	4102764	4102764	512846	512866	512866	1	0	0	1	1
exact	clic-validation-092	compact	6816046	abaa8add5a233066	57172606	57172606	7146576	7146596	7146596	1	0	0	1	1
exact	clic-validation-092	low-latency	6821520	8d13b469ff047be5	57172606	57172606	7146576	7146596	7146596	1	0	0	1	1
exact	clic-validation-093	compact	3572272	70572a5ca5fcb0fa	30526115	30526115	3815765	3815786	3815786	1	0	0	1	1
exact	clic-validation-093	low-latency	3597412	ae92c4a29a21d468	30526115	30526115	3815765	3815786	3815786	1	0	0	1	1
exact	clic-validation-094	compact	5988924	16528b0ca0d3b08a	54814377	54814377	6851798	6851818	6851818	1	0	0	1	1
