
running 1 test
p15	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	reassignment_ns	rebuild_ns	refined_cost_ns	final_selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	e_groups	b_groups	refined_groups	retained_plan_bytes	initial	final	ordered_bytes	single_bytes	control_bytes	e_bits	e_payload_bytes	e_riff_bytes	b_bits	b_payload_bytes	b_riff_bytes	refined_bits	refined_payload_bytes	refined_riff_bytes	final_bytes	final_hash	public_exact
p15	clic-validation-014	low-latency	7990272	35	3000	4836625	7923764	146860	142666	48750	448666	333375	392333	26833	355750	42	16168	16168	16168	15	13	15	190337	E	R	5386808	5843580	5386808	43310493	5413812	5413832	44011633	5501455	5501476	42601551	5325194	5325214	5325214	b9d3c7f28f88d8da	1
p15	clic-validation-015	compact	7990272	130	3834	4816208	7964012	272740	357666	119042	443583	362625	998916	92125	450750	83	66117	66117	66117	18	15	18	226014	E	R	5656200	5756418	5656200	45630639	5703830	5703850	45650752	5706344	5706364	45167516	5645940	5645960	5645960	c9534777b8b6cacd	1
p15	clic-validation-015	low-latency	7990272	35	2458	4776292	7964012	146860	111167	42833	269958	136709	307709	26708	256208	0	21133	21133	21133	9	5	9	101857	E	R	5684412	5756418	5684412	45688635	5711080	5711100	45898674	5737335	5737356	45610842	5701356	5701376	5701376	2239b30615c97695	1
p15	clic-validation-016	compact	7990272	130	2500	5357291	7907478	272740	346167	113625	437916	358958	1051250	93625	464750	0	29849	29849	29849	22	19	22	279102	E	R	4555750	5719120	4555750	36800498	4600063	4600084	36811149	4601394	4601414	36449037	4556130	4556150	4556150	0e584c021833b809	1
p15	clic-validation-016	low-latency	7990272	35	3417	4946625	7907478	146860	102000	42834	295417	236833	305875	24708	275000	0	10608	10608	10608	14	11	14	172641	E	R	4701704	5719120	4701704	38024709	4753089	4753110	38074434	4759305	4759326	37943102	4742888	4742908	4742908	c30e4d1f28b21b41	1
p15	clic-validation-017	compact	12192768	192	4500	7425334	11545236	402816	519625	168041	404709	311333	1507375	106375	409208	42	33205	33205	33205	20	17	20	252744	E	R	6691500	7456520	6691500	54721421	6840178	6840198	54990977	6873873	6873894	52186028	6523254	6523274	6523274	c08795c03e9be29f	1
p15	clic-validation-017	low-latency	12192768	48	2833	7260416	11545236	201408	135334	54375	276125	195084	353250	34083	256166	209	11471	11471	11471	14	11	14	172680	E	R	6719656	7456520	6719656	54764629	6845579	6845600	54941663	6867708	6867728	53297048	6662131	6662152	6662152	a41911716db39e87	1
p15	clic-validation-018	compact	7990272	130	3958	4946292	7896266	272740	336542	103291	354417	262750	965292	137375	381542	41	33319	33319	33319	18	13	18	217166	E	R	5115144	5461664	5115144	40002491	5000312	5000332	40671103	5083888	5083908	38609454	4826182	4826202	4826202	6279873339095fd0	1
p15	clic-validation-018	low-latency	7990272	35	3667	5158000	7896266	146860	107125	47500	273917	198875	292625	23917	228542	42	11830	11830	11830	11	9	11	137249	E	R	5118420	5461664	5118420	40277227	5034654	5034674	40725989	5090749	5090770	39767621	4970953	4970974	4970974	59baef36fceb1221	1
p15	clic-validation-019	compact	7990272	130	3459	4924000	7700860	272740	344875	114250	563167	592791	1577791	78458	595125	42	39232	39232	39232	26	28	28	363158	B	R	5039696	5781646	5039696	40696242	5087031	5087052	40638634	5079830	5079850	38268363	4783546	4783566	4783566	75328ad5326499e3	1
p15	clic-validation-019	low-latency	7990272	35	2459	5216375	7700860	146860	102666	48583	375667	286500	347666	24750	288042	41	13855	13855	13855	16	13	13	185913	B	R	5108948	5781646	5108948	40861610	5107702	5107722	40228798	5028600	5028620	39731100	4966388	4966408	4966408	2da3eb61220fc518	1
p15	clic-validation-020	compact	9445376	160	3625	5723291	9374838	335680	452709	153542	663833	558042	1922125	108459	769583	41	56244	56244	56244	30	24	30	372096	E	R	6358216	6827556	6358216	50657253	6332157	6332178	50991371	6373922	6373942	49691903	6211488	6211508	6211508	cd8ca3773f6ac558	1
