
running 1 test
p15	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	reassignment_ns	rebuild_ns	refined_cost_ns	final_selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	e_groups	b_groups	refined_groups	retained_plan_bytes	initial	final	ordered_bytes	single_bytes	control_bytes	e_bits	e_payload_bytes	e_riff_bytes	b_bits	b_payload_bytes	b_riff_bytes	refined_bits	refined_payload_bytes	refined_riff_bytes	final_bytes	final_hash	public_exact
p15	clic-validation-044	compact	12289728	192	4250	7636500	12162876	402816	538916	174792	574875	583834	1821750	125375	549708	0	51678	51678	51678	28	29	28	376616	E	R	7873888	8654750	7873888	62053081	7756636	7756656	62447490	7805937	7805958	60064944	7508118	7508138	7508138	eb51eff3d3324337	1
p15	clic-validation-044	low-latency	12289728	48	3375	7355833	12162876	201408	151625	61750	376375	351291	429458	37083	321792	42	17571	17571	17571	16	16	16	212496	E	R	8131272	8654750	8131272	62522548	7815319	7815340	63118645	7889831	7889852	61788836	7723605	7723626	7723626	e6a9778b9045d721	1
p15	clic-validation-045	compact	12289728	192	3916	7570209	12218634	402816	497792	157041	492208	477959	1820625	115875	474833	0	35121	35121	35121	25	24	25	327952	E	R	7900172	8470372	7900172	62454857	7806858	7806878	62714245	7839281	7839302	57804875	7225610	7225630	7225630	8cd2f181a59d48a9	1
p15	clic-validation-045	low-latency	12289728	48	3333	7457750	12218634	201408	134917	61500	251500	308250	432542	32916	252584	42	13580	13580	13580	11	11	11	146136	E	R	8110572	8470372	8110572	63590972	7948872	7948892	64039046	8004881	8004902	60670266	7583784	7583804	7583804	45d8ddaf699447f4	1
p15	clic-validation-046	compact	12289728	192	4708	7537667	12183196	402816	549750	192042	748542	697542	2343208	112375	693459	0	53048	53048	53048	30	33	33	425280	B	R	7848400	8780082	7848400	65239484	8154936	8154956	63658101	7957263	7957284	59922610	7490327	7490348	7490348	a563d0a380e0a670	1
p15	clic-validation-046	low-latency	12289728	48	3125	7575958	12183196	201408	136708	57250	375584	399583	496833	31791	355167	42	17430	17430	17430	15	16	16	208072	B	R	7954172	8780082	7954172	65254041	8156756	8156776	64890098	8111263	8111284	62834603	7854326	7854346	7854346	f849f89509a98ca2	1
p15	clic-validation-047	compact	12192768	192	4500	7420500	12064512	402816	542334	178625	1000166	802000	3059417	128042	941041	42	57322	57322	57322	46	38	46	575696	E	R	7957054	8899676	7957054	63677200	7959650	7959670	64027476	8003435	8003456	60573637	7571705	7571726	7571726	dc006439204dbbde	1
p15	clic-validation-047	low-latency	12192768	48	3709	7330500	12064512	201408	139458	59125	386208	374709	559125	38500	401292	0	20175	20175	20175	16	16	16	212496	B	R	8191412	8899676	8191412	66753444	8344181	8344202	66694640	8336830	8336850	64278129	8034767	8034788	8034788	6077457df2390b65	1
p15	clic-validation-048	compact	12289728	192	4917	7639458	12172724	402816	549000	173125	500042	441875	2101250	122666	455083	42	58891	58891	58891	23	21	23	296984	E	R	7906474	8387112	7906474	61768467	7721059	7721080	63471958	7933995	7934016	60504825	7563104	7563124	7563124	73513818dc36761f	1
p15	clic-validation-048	low-latency	12289728	48	3042	7802500	12172724	201408	178750	64542	320958	325458	517583	33125	318625	0	17887	17887	17887	13	15	15	190376	B	R	7848440	8387112	7848440	61862676	7732835	7732856	61651020	7706378	7706398	61044550	7630569	7630590	7630590	1c5840e6f8132107	1
p15	clic-validation-049	compact	12192768	192	5458	7673417	11738778	402816	540333	184666	694542	701084	2497833	132958	652083	42	62333	62333	62333	29	27	29	376616	E	R	7822290	8814616	7822290	62996705	7874589	7874610	63821389	7977674	7977694	60813409	7601677	7601698	7601698	3c1078c9c6f8bbf9	1
p15	clic-validation-049	low-latency	12192768	48	3167	7547375	11738778	201408	163209	62667	391625	381250	587792	37458	374541	0	21735	21735	21735	16	16	16	212496	E	R	8108738	8814616	8108738	63456598	7932075	7932096	64100532	8012567	8012588	62831250	7853907	7853928	7853928	93f20aec544a5e86	1
p15	clic-validation-050	compact	12192768	192	4542	7218792	10946930	402816	528958	168708	543625	473958	1624292	123542	514250	41	63918	63918	63918	24	21	21	292560	B	R	7378716	8156160	7378716	59733814	7466727	7466748	59067311	7383414	7383434	58181829	7272729	7272750	7272750	93ae91c1e42c24e2	1
p15	clic-validation-050	low-latency	12192768	48	3291	7351083	10946930	201408	140333	60000	359542	302209	464375	34875	333166	42	20303	20303	20303	15	13	15	190376	E	R	7478216	8156160	7478216	58776836	7347105	7347126	59469229	7433654	7433674	58604570	7325572	7325592	7325592	5ae8e07f5a73456c	1
p15	clic-validation-051	compact	12289728	192	4084	7937292	12278744	402816	561875	200500	480875	578250	2035208	137583	597250	42	85139	85139	85139	18	23	23	283712	B	R	8580442	9177716	8580442	69525031	8690629	8690650	68854918	8606865	8606886	67751877	8468985	8469006	8469006	39550cba64a5da99	1
p15	clic-validation-051	low-latency	12289728	48	2875	7874875	12278744	201408	142625	65500	267708	395625	599750	40834	397167	0	25267	25267	25267	9	15	15	172680	B	R	8648696	9177716	8648696	69906732	8738342	8738362	68881552	8610194	8610214	68374876	8546860	8546880	8546880	ef3517d3767b0b3a	1
p15	clic-validation-052	compact	12289728	192	4291	7856042	12166626	402816	650833	192458	591583	457000	1708584	122209	514458	0	57238	57238	57238	27	22	22	314680	B	R	7718096	8614622	7718096	62401523	7800191	7800212	62358765	7794846	7794866	60299068	7537384	7537404	7537404	a439518d0ec18966	1
p15	clic-validation-052	low-latency	12289728	48	2792	7610083	12166626	201408	147125	61208	370250	319250	466125	38375	323375	0	17920	17920	17920	16	13	16	199224	E	R	7997574	8614622	7997574	62474167	7809271	7809292	63382980	7922873	7922894	62020226	7752529	7752550	7752550	393b9491123db275	1
p15	clic-validation-053	compact	12289728	192	5291	7692875	12105286	402816	545375	184542	477459	453125	1842709	131125	449958	0	51145	51145	51145	22	21	21	283712	B	R	7672802	8049350	7672802	61520896	7690112	7690132	61060968	7632621	7632642	58678513	7334815	7334836	7334836	7b2dc1696e9c486f	1
p15	clic-validation-053	low-latency	12289728	48	3125	7546916	12105286	201408	140334	58292	336916	264667	465084	36167	333500	0	17158	17158	17158	15	12	15	185952	E	R	7683910	8049350	7683910	61788108	7723514	7723534	61836089	7729512	7729532	60830030	7603754	7603774	7603774	d3d8c355b4c45c5f	1
p15	clic-validation-054	compact	12289728	192	5458	7563833	11863118	402816	520959	167291	497917	506500	1811750	115833	512833	0	37267	37267	37267	26	27	27	354496	B	R	7105098	8164480	7105098	57250800	7156350	7156370	56881451	7110182	7110202	54919558	6864945	6864966	6864966	0d62355fa59f1ff2	1
p15	clic-validation-054	low-latency	12289728	48	3084	7477333	11863118	201408	138209	59583	323583	301834	414833	31875	299625	41	12985	12985	12985	16	16	16	212496	E	R	7334782	8164480	7334782	56807738	7100968	7100988	57746219	7218278	7218298	56747197	7093400	7093420	7093420	bdb16133360475a1	1
p15	clic-validation-055	compact	12289728	192	6333	7665208	11995666	402816	542792	172333	367083	312833	1291000	129792	369875	42	39261	39261	39261	17	15	17	217352	E	R	7806344	8452586	7806344	60440752	7555094	7555114	61149567	7643696	7643716	56475380	7059423	7059444	7059444	bce38c8622691992	1
p15	clic-validation-055	low-latency	12289728	48	3208	7678584	11995666	201408	141416	59334	303959	235791	423875	35334	288959	0	14498	14498	14498	13	11	13	163832	E	R	7568426	8452586	7568426	61482312	7685289	7685310	61689661	7711208	7711228	59957061	7494633	7494654	7494654	bb1b10dccf4212a7	1
p15	clic-validation-056	compact	7990272	130	3583	5029833	7975568	272740	358125	119375	546834	496708	1150083	86500	541041	125	40563	40563	40563	27	24	27	345462	E	R	5090268	5498758	5090268	40151973	5018997	5019018	40427385	5053424	5053444	39748155	4968520	4968540	4968540	3d9eb95927e92256	1
p15	clic-validation-056	low-latency	7990272	35	2917	5051375	7975568	146860	108500	45542	352166	333709	332000	27333	322667	42	13394	13394	13394	15	15	15	199185	E	R	5167842	5498758	5167842	40811378	5101423	5101444	41139563	5142446	5142466	40803848	5100481	5100502	5100502	aeef122f391cb387	1
p15	clic-validation-057	compact	7990272	130	3584	4726375	7972114	272740	379667	123167	571458	439583	1334375	87833	555584	0	35771	35771	35771	26	20	26	318918	E	R	5021628	5653454	5021628	40562389	5070299	5070320	40918571	5114822	5114842	39854424	4981803	4981824	4981824	e0b04b0a3a5de0c4	1
p15	clic-validation-057	low-latency	7990272	35	2000	5044125	7972114	146860	102834	43417	282333	273292	348291	29541	281250	0	12235	12235	12235	13	13	13	172641	B	R	5152288	5653454	5152288	41158988	5144874	5144894	41157235	5144655	5144676	41027265	5128409	5128430	5128430	f9a769fce4a0906c	1
p15	clic-validation-058	compact	7990272	130	6958	5040000	7781654	272740	390750	108125	528833	431542	1106916	105417	546375	42	35588	35588	35588	24	19	24	296798	E	R	4943622	5371936	4943622	39875540	4984443	4984464	40300907	5037614	5037634	38455344	4806918	4806938	4806938	9388c322ea0e6dd2	1
p15	clic-validation-058	low-latency	7990272	35	2667	5000709	7781654	146860	106041	45458	335125	241667	254208	22458	215208	0	12188	12188	12188	10	10	10	132825	B	R	4935030	5371936	4935030	40413652	5051707	5051728	40083773	5010472	5010492	39502567	4937821	4937842	4937842	26d858d91c74bab5	1
p15	clic-validation-059	compact	7990272	130	3750	3896000	5997788	272740	353667	113209	386667	388458	1043459	79834	395292	166	23644	23644	23644	21	22	22	287950	B	R	3595402	3988980	3595402	28703213	3587902	3587922	28311729	3538967	3538988	28157757	3519720	3519740	3519740	7a4977c869f883fd	1
p15	clic-validation-059	low-latency	7990272	35	2375	3922917	5997788	146860	118333	46917	315666	280000	284958	26792	268208	125	9036	9036	9036	14	15	15	194761	B	B	3675422	3988980	3675422	29042695	3630337	3630358	28823565	3602946	3602966	28823565	3602946	3602966	3602966	c061d55509041405	1
p15	clic-validation-060	compact	7990272	130	3250	4738500	7446642	272740	371667	108416	344459	273709	767500	86166	327916	41	31637	31637	31637	17	14	17	212742	E	R	4515910	4870430	4515910	36044344	4505543	4505564	36207124	4525891	4525912	35734654	4466832	4466852	4466852	328b12d7cf794f6e	1
p15	clic-validation-060	low-latency	7990272	35	2167	4603041	7446642	146860	98292	40541	211292	192666	229375	23125	195958	0	10298	10298	10298	10	10	10	132825	B	R	4575774	4870430	4575774	36480419	4560053	4560074	36010859	4501358	4501378	35880010	4485002	4485022	4485022	94feca1fa5b67460	1
p15	clic-validation-061	compact	11165696	176	4167	6579375	11097330	369248	507584	208709	482834	355875	1398625	136667	515042	41	57283	57283	57283	21	16	21	257120	E	R	7438600	7757474	7438600	59457965	7432246	7432266	59645056	7455632	7455652	58101005	7262626	7262646	7262646	d60dba4190819ad3	1
p15	clic-validation-061	low-latency	11165696	48	2500	6584292	11097330	201408	141834	60625	297584	235959	346875	41958	245542	125	20392	20392	20392	12	10	10	141712	B	R	7429254	7757474	7429254	59993029	7499129	7499150	59957778	7494723	7494744	59527226	7440904	7440924	7440924	c48271676b01413e	1
p15	clic-validation-062	compact	10969088	176	3083	6161291	9578518	369248	492541	158292	515041	463000	1446459	130459	529083	41	43054	43054	43054	25	21	25	314632	E	R	6121602	6596034	6121602	48662309	6082789	6082810	49235217	6154403	6154424	46629634	5828705	5828726	5828726	5adfbdac0716cb9f	1
p15	clic-validation-062	low-latency	10969088	48	3334	6009958	9578518	201408	134916	56667	270375	228250	342083	31833	232042	3250	14785	14785	14785	11	9	11	137288	E	R	6162162	6596034	6162162	49901492	6237687	6237708	50008502	6251063	6251084	48951840	6118980	6119000	6119000	a91cc683b982d317	1
p15	clic-validation-063	compact	9732096	160	4000	5849959	9633828	335680	425916	160792	725916	793958	1733250	98166	754458	42	60169	60169	60169	32	36	36	460576	B	R	6445414	6954136	6445414	51961099	6495138	6495158	51766461	6470808	6470828	51131925	6391491	6391512	6391512	a607a0a4d88ef77a	1
p15	clic-validation-063	low-latency	9732096	40	2875	6009708	9633828	167840	129167	50291	379208	327875	383166	27833	343250	0	19128	19128	19128	15	14	14	190352	B	R	6534318	6954136	6534318	52249537	6531193	6531214	52176127	6522016	6522036	52104915	6513115	6513136	6513136	d9e5a98fe4a43a19	1
p15	clic-validation-064	compact	11149312	176	4625	6690959	11018614	369248	522875	239500	1009917	902084	2521917	134208	950917	0	83335	83335	83335	42	40	40	540256	B	R	7719328	8265838	7719328	62642975	7830372	7830392	62044157	7755520	7755540	61474399	7684300	7684320	7684320	79f22fea8ccc8769	1
p15	clic-validation-064	low-latency	11149312	48	3041	6646875	11018614	201408	152541	64000	419958	426416	590542	37959	440833	41	27064	27064	27064	16	16	16	212496	B	R	7878280	8265838	7878280	63782992	7972874	7972894	63359862	7919983	7920004	63299348	7912419	7912440	7912440	81803f7180d602b6	1
p15	clic-validation-065	compact	11182080	176	3709	6972667	11171350	369248	541875	186916	364792	374292	887250	109166	296333	42	41960	41960	41960	14	18	14	204032	E	R	6898214	7530648	6898214	55287628	6910954	6910974	55456581	6932073	6932094	54241958	6780245	6780266	6780266	214cbd2022073564	1
p15	clic-validation-065	low-latency	11182080	48	3125	7343000	11171350	201408	135500	58333	172209	179417	237750	33292	195584	41	14767	14767	14767	7	8	8	101896	B	R	6856728	7530648	6856728	56712409	7089052	7089072	55634311	6954289	6954310	55269332	6908667	6908688	6908688	caa1bf09e470a031	1
p15	clic-validation-066	compact	5973120	104	2542	3532125	5502426	218192	282791	101667	349625	271625	629291	64541	310792	125	28749	28749	28749	15	12	15	186120	E	R	3437954	4007076	3437954	28137628	3517204	3517224	28803608	3600451	3600472	27451355	3431420	3431440	3431440	af23ae294a66ea51	1
p15	clic-validation-066	low-latency	5973120	28	1459	3678625	5502426	117488	84791	58208	185708	182667	197459	25333	183291	41	11195	11195	11195	7	7	7	92988	E	R	3463560	4007076	3463560	28954557	3619320	3619340	29017497	3627188	3627208	28845189	3605649	3605670	3605670	78213021f9cf1236	1
p15	clic-validation-067	compact	11149312	176	4375	6658417	10785140	369248	486542	175916	1128583	937333	2788042	135542	1040000	41	63064	63064	63064	49	43	49	624312	E	R	7149540	7797260	7149540	57179444	7147431	7147452	57428732	7178592	7178612	56109180	7013648	7013668	7013668	1cd8b39911428ec5	1
p15	clic-validation-067	low-latency	11149312	48	2042	6464541	10785140	201408	154667	68459	417167	378167	553250	40416	384583	42	21803	21803	21803	16	16	16	212496	B	R	7399782	7797260	7399782	58817292	7352162	7352182	58230047	7278756	7278776	58096172	7262022	7262042	7262042	1dec5d43b6121305	1
p15	clic-validation-068	compact	11182080	176	4750	6767792	11004110	369248	520500	198625	663375	622667	1593667	127042	597375	42	52520	52520	52520	26	26	26	345600	B	R	7005466	8004572	7005466	57718584	7214823	7214844	57324531	7165567	7165588	56601103	7075138	7075158	7075158	bc43a7165fdb92da	1
p15	clic-validation-068	low-latency	11182080	48	3167	6677083	11004110	201408	167292	67333	431750	356792	511958	41583	381916	0	19082	19082	19082	16	16	16	212496	B	R	7198452	8004572	7198452	57821461	7227683	7227704	57413509	7176689	7176710	56181606	7022701	7022722	7022722	7e6e8ac3d5f30273	1
p15	clic-validation-069	compact	11141120	176	3666	6766667	10914068	369248	458375	137542	229750	195584	654542	103792	235584	0	27675	27675	27675	13	12	12	164216	B	R	6211560	7034076	6211560	49474994	6184375	6184396	48637823	6079728	6079748	48028149	6003519	6003540	6003540	8b55a61451a728df	1
p15	clic-validation-069	low-latency	11141120	48	3625	6769375	10914068	201408	148375	64000	228667	177416	194708	30625	153125	41	10137	10137	10137	9	10	9	124016	E	R	6218740	7034076	6218740	50182610	6272827	6272848	50268870	6283609	6283630	49680987	6210124	6210144	6210144	88ec420e70594b19	1
p15	clic-validation-070	compact	11182080	176	4208	6580250	11162832	369248	487042	165417	621208	499333	1470000	125792	610375	42	56229	56229	56229	31	25	31	385416	E	R	7163008	7597312	7163008	56698730	7087342	7087362	56700312	7087539	7087560	56557726	7069716	7069736	7069736	b5535f63bab82fcc	1
p15	clic-validation-070	low-latency	11182080	48	2875	6535167	11162832	201408	136167	65000	343125	325542	367667	29458	306041	42	18948	18948	18948	16	16	16	212496	B	B	7230868	7597312	7230868	57717784	7214723	7214744	57471014	7183877	7183898	57471014	7183877	7183898	7183898	d6a6c92d181a2b2e	1
p15	clic-validation-071	compact	5064000	84	2667	3181166	5062570	176232	226250	74750	316875	268083	552833	52875	297000	42	23802	23802	23802	15	13	15	190484	E	R	3221288	3515174	3221288	25783460	3222933	3222954	25885818	3235728	3235748	24559849	3069982	3070002	3070002	b3e6e0ef7cbcaded	1
p15	clic-validation-071	low-latency	5064000	24	2334	3114333	5062570	100704	70250	29208	185209	173000	197667	17708	182333	0	8163	8163	8163	8	8	8	106248	B	R	3213510	3515174	3213510	25732416	3216552	3216572	25423803	3177976	3177996	25248994	3156125	3156146	3156146	8ddac0dd7c907a6f	1
p15	clic-validation-072	compact	10051760	176	4500	5943500	9583330	369248	473417	151041	546375	480500	1133459	100208	417833	42	31503	31503	31503	27	24	24	332328	B	R	5618140	6895976	5618140	45595028	5699379	5699400	45371157	5671395	5671416	44504395	5563050	5563070	5563070	fcf10d296d5aed97	1
p15	clic-validation-072	low-latency	10051760	48	1917	6155834	9583330	201408	131542	56583	317541	303167	351500	31334	288875	125	11397	11397	11397	16	15	15	203648	B	R	5704026	6895976	5704026	45992698	5749088	5749108	45807501	5725938	5725958	45767110	5720889	5720910	5720910	71013d5c2781b09d	1
p15	clic-validation-073	compact	11097600	176	3417	6868375	10292056	369248	474625	197500	757584	642459	1574875	111083	663875	41	56728	56728	56728	29	28	29	380992	E	R	7178514	7484380	7178514	57352513	7169065	7169086	57908945	7238619	7238640	55156950	6894619	6894640	6894640	85d4439f2b45d5b2	1
p15	clic-validation-073	low-latency	11097600	48	3000	6388666	10292056	201408	141333	67917	220041	265083	340375	31958	284917	125	19964	19964	19964	8	11	11	132864	B	R	7211752	7484380	7211752	58227018	7278378	7278398	58167622	7270953	7270974	56685769	7085722	7085742	7085742	db6ee87103885686	1
p15	clic-validation-074	compact	8162000	140	2875	5500292	8161766	293720	346750	107458	175250	197500	460792	75625	199625	42	25890	25890	25890	7	9	9	111020	B	R	5322948	5524776	5322948	43211159	5401395	5401416	42992296	5374037	5374058	42705722	5338216	5338236	5338236	7148df63dd798907	1
p15	clic-validation-074	low-latency	8162000	35	2500	5050042	8161766	146860	111750	42542	68041	131750	144583	28958	119917	0	8927	8927	8927	2	5	5	53193	B	R	5084390	5524776	5084390	44030650	5503832	5503852	43726620	5465828	5465848	43525266	5440659	5440680	5440680	1423d6d17ad07fb8	1
p15	clic-validation-075	compact	11223040	176	7208	6690709	11218496	369248	471792	142125	386958	299417	1238875	106750	308667	0	54973	54973	54973	18	14	14	204032	B	R	7194564	7708410	7194564	57212319	7151540	7151560	57055566	7131946	7131966	56131673	7016460	7016480	7016480	d55dd3050f8dab82	1
p15	clic-validation-075	low-latency	11223040	48	3500	6649417	11218496	201408	133667	54916	236500	192250	348083	32375	231209	41	18378	18378	18378	11	9	11	137288	E	R	7239090	7708410	7239090	57457126	7182141	7182162	58006271	7250784	7250804	56915863	7114483	7114504	7114504	9b727c30611d52a8	1
p15	clic-validation-076	compact	11182080	176	6708	6801292	11030540	369248	528459	166125	403250	352333	1158000	103584	352667	0	29053	29053	29053	23	21	21	288088	B	R	6453086	7314826	6453086	51780271	6472534	6472554	51517571	6439697	6439718	49045085	6130636	6130656	6130656	23151f2cf90bd444	1
p15	clic-validation-076	low-latency	11182080	48	3291	6649833	11030540	201408	138209	56875	299750	296917	361375	42791	366792	0	10812	10812	10812	15	16	16	208072	B	R	6423696	7314826	6423696	52159137	6519893	6519914	51582214	6447777	6447798	51476198	6434525	6434546	6434546	872d2d687aa73f2a	1
p15	clic-validation-077	compact	11182080	176	4333	6504542	9204846	369248	483000	144416	372917	368250	1028084	99333	309458	0	30357	30357	30357	16	18	16	221728	E	R	5599902	6109706	5599902	45217281	5652161	5652182	45378567	5672321	5672342	44214081	5526761	5526782	5526782	9987f790183d3867	1
p15	clic-validation-077	low-latency	11182080	48	3417	6575125	9204846	201408	128542	85625	218250	235709	317458	39083	269833	0	11701	11701	11701	11	13	13	163832	B	B	5607562	6109706	5607562	45663672	5707959	5707980	45484476	5685560	5685580	45484476	5685560	5685580	5685580	c502ae6a782a6053	1
p15	clic-validation-078	compact	9447680	160	4000	5975000	9202818	335680	455458	162750	618083	550333	1666917	95916	575333	0	48342	48342	48342	27	25	25	341128	B	R	5704512	6345390	5704512	46648830	5831104	5831124	46305864	5788233	5788254	44941933	5617742	5617762	5617762	1277afc95fd01c24	1
p15	clic-validation-078	low-latency	9447680	40	2417	5762500	9202818	167840	116875	47833	346375	235542	325333	26583	277083	42	15071	15071	15071	13	11	11	154960	B	R	5829980	6345390	5829980	46901349	5862669	5862690	46769747	5846219	5846240	46349430	5793679	5793700	5793700	86c788de39a1d2b1	1
p15	clic-validation-079	compact	7900500	126	3958	4534709	7328530	264348	345750	128916	388458	345667	572541	85834	346166	41	31503	31503	31503	19	19	19	252546	B	R	4473714	4866506	4473714	35899132	4487392	4487412	35772350	4471544	4471564	35539881	4442486	4442506	4442506	4018350e492c4151	1
p15	clic-validation-079	low-latency	7900500	35	2542	4649584	7328530	146860	99916	42125	268625	216375	245792	30500	269416	42	10926	10926	10926	12	11	11	150521	B	R	4555170	4866506	4555170	36368215	4546027	4546048	36323873	4540485	4540506	36279584	4534948	4534968	4534968	d009efba326cc990	1
p15	clic-validation-080	compact	11182080	176	4833	6933666	11136958	369248	450792	137209	271208	178833	1104875	95000	288667	0	31471	31471	31471	15	10	15	177488	E	R	6574580	6964308	6574580	51546433	6443305	6443326	51789857	6473733	6473754	50740898	6342613	6342634	6342634	99a2b9c4a16ad4f6	1
p15	clic-validation-080	low-latency	11182080	48	2833	6845917	11136958	201408	138167	51584	177209	155834	261125	30125	174125	0	11704	11704	11704	8	8	8	106320	B	R	6602440	6964308	6602440	53009696	6626212	6626232	52583094	6572887	6572908	52322905	6540364	6540384	6540384	422c4c691ab91283	1
p15	clic-validation-081	compact	11182080	176	4166	6496792	9992446	369248	448375	134625	296417	263459	827083	99458	249083	0	25852	25852	25852	15	14	14	190760	B	R	5779970	6285874	5779970	46404811	5800602	5800622	45865211	5733152	5733172	45186834	5648355	5648376	5648376	ec88003506864a7f	1
p15	clic-validation-081	low-latency	11182080	48	3250	6607125	9992446	201408	143416	54125	230166	201083	277084	38125	220375	0	9976	9976	9976	10	11	11	141712	B	R	5682374	6285874	5682374	47138346	5892294	5892314	46382118	5797765	5797786	45697205	5712151	5712172	5712172	82452e3b46574b74	1
p15	clic-validation-082	compact	2457600	40	2333	1581333	2457468	83920	106875	32375	185833	119583	211750	26666	171584	0	12522	12522	12522	9	6	9	106296	E	R	1512228	1546030	1512228	12109699	1513713	1513734	12150192	1518774	1518794	12092658	1511583	1511604	1511604	6c4f7cf876a34a98	1
p15	clic-validation-082	low-latency	2457600	12	708	1459625	2457468	50352	37833	26750	158500	72542	121250	9958	137333	42	4089	4089	4089	7	3	7	75244	E	E	1515288	1546030	1515288	12120875	1515110	1515130	12196232	1524529	1524550	12120875	1515110	1515130	1515130	09e93a05b2be43d7	1
p15	clic-validation-083	compact	11182080	176	3334	6899750	11178536	369248	507667	163959	464750	416959	1416834	115625	400417	42	39994	39994	39994	25	21	20	292512	B	R	6906868	7592098	6906868	54378550	6797319	6797340	54144260	6768033	6768054	53653036	6706630	6706650	6706650	cab81f4ff6c4ee9a	1
p15	clic-validation-083	low-latency	11182080	48	3334	6631084	11178536	201408	162625	87833	309916	245250	344459	32334	289084	0	14279	14279	14279	15	12	15	185952	E	R	6884388	7592098	6884388	54627762	6828471	6828492	54953083	6869136	6869156	54481701	6810213	6810234	6810234	ffb20d181dacddf4	1
p15	clic-validation-084	compact	11182080	176	4083	6411875	9231052	369248	541209	163250	546042	507834	1389458	125167	537625	42	38519	38519	38519	23	22	22	296936	B	R	5985856	6645294	5985856	48610388	6076299	6076320	47565299	5945663	5945684	46868931	5858617	5858638	5858638	67137b6691ccbef8	1
p15	clic-validation-084	low-latency	11182080	48	3083	6388041	9231052	201408	142791	58625	257708	297459	373750	35583	340167	167	14344	14344	14344	11	13	13	163832	B	R	6003064	6645294	6003064	48700857	6087608	6087628	47276368	5909546	5909566	47158611	5894827	5894848	5894848	aab59aa242956573	1
p15	clic-validation-085	compact	3575904	70	3250	2297667	3463172	146860	204542	73666	325125	279708	581625	50084	303125	0	16527	16527	16527	16	14	16	203714	E	R	1935310	2150968	1935310	15542497	1942813	1942834	15586117	1948265	1948286	15485329	1935667	1935688	1935688	6785f1792b42d34a	1
p15	clic-validation-085	low-latency	3575904	20	875	2175041	3463172	83920	69792	26542	226583	152375	215125	15334	237917	125	5180	5180	5180	11	8	11	132780	E	E	1954892	2150968	1954892	15886843	1985856	1985876	15944569	1993072	1993092	15886843	1985856	1985876	1985876	c93c3ccbf041a0df	1
p15	clic-validation-086	compact	11190272	176	4083	6662750	11122788	369248	478333	146958	545667	438625	1417833	109333	451167	0	35659	35659	35659	28	23	23	327904	B	R	6780836	7681514	6780836	55789954	6973745	6973766	55530755	6941345	6941366	53551969	6693997	6694018	6694018	6d93cf81324bf9da	1
p15	clic-validation-086	low-latency	11190272	48	2750	6633667	11122788	201408	135750	56709	350292	269542	405500	33333	315792	42	13136	13136	13136	16	14	16	203648	E	R	6923612	7681514	6923612	56895512	7111939	7111960	57001367	7125171	7125192	55713646	6964206	6964226	6964226	b68122a08603abe5	1
p15	clic-validation-087	compact	2319360	40	1416	1402166	2148862	83920	104875	34542	175208	223958	280292	23916	215709	0	10917	10917	10917	8	12	12	141688	B	R	1235750	1282818	1235750	9953227	1244154	1244174	9875740	1234468	1234488	9695066	1211884	1211904	1211904	9bea36ae4708de80	1
p15	clic-validation-087	low-latency	2319360	12	1000	1383875	2148862	50352	38542	19459	124250	129625	101917	8375	130375	0	3941	3941	3941	5	7	7	84092	B	R	1252050	1282818	1252050	9908818	1238603	1238624	9849624	1231203	1231224	9833551	1229194	1229214	1229214	ef72a7e4791c4576	1
p15	clic-validation-088	compact	5184000	96	2833	3238375	5048140	201408	278042	94709	532250	476875	677167	68416	472792	41	29778	29778	29778	26	24	24	327664	B	R	3237528	3648948	3237528	25635265	3204409	3204430	25410859	3176358	3176378	25073773	3134222	3134242	3134242	bdf1b713ca95b41f	1
p15	clic-validation-088	low-latency	5184000	24	2125	3160708	5048140	100704	80125	32083	257333	282375	211459	19750	238334	0	10237	10237	10237	11	13	11	154912	E	E	3293512	3648948	3293512	26289738	3286218	3286238	26318392	3289799	3289820	26289738	3286218	3286238	3286238	a47dd2fbf76a01e2	1
p15	clic-validation-089	compact	9848328	176	4292	6042583	9795016	369248	506000	172458	745416	449334	1300250	129875	508666	0	52918	52918	52918	28	22	22	319056	B	R	6517422	7139380	6517422	51995087	6499386	6499406	51624374	6453047	6453068	51090243	6386281	6386302	6386302	d12399d7f6ef31f9	1
p15	clic-validation-089	low-latency	9848328	48	4625	6245291	9795016	201408	140125	57625	361459	257125	378125	33833	310583	41	17544	17544	17544	15	11	15	181528	E	R	6529714	7139380	6529714	52125138	6515643	6515664	52526339	6565793	6565814	52025362	6503171	6503192	6503192	217ab25516ea7ecb	1
p15	clic-validation-090	compact	11182080	176	3416	6486625	10099432	369248	485083	154292	676125	712458	2847916	143458	612583	0	40808	40808	40808	28	27	27	363296	B	R	6442454	7274078	6442454	52203275	6525410	6525430	50741303	6342663	6342684	49739712	6217464	6217484	6217484	8b8a45023dc8adb6	1
