
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	signature_differences	assignment_differences	ordered_groups	exact_groups	ordered_candidate_bytes	exact_candidate_bytes	candidate_byte_delta	ordered_product_bytes	exact_product_bytes	product_byte_delta	ordered_candidate_ns	exact_candidate_ns	ordered_product_ns	exact_product_ns	ordered_plan_ns	initialization_ns	update_ns	signature_cluster_ns	merge_ns	update_count	merge_updates	storage_bytes
phase_a	clic-validation-033	compact	2016	1512	3048192	3001838	2986662	15176	0	192	112	154	39	24	8462362	8163720	-298642	8462362	8163720	-298642	73427083	37502084	93228791	56413000	33977667	3542	8308667	401292	135958	11977000	64637	402816
phase_a	clic-validation-033	low-latency	2016	1512	3048192	3001838	2986662	15176	0	48	37	38	16	14	8431672	8502288	70616	8431672	8502288	70616	71665584	35108250	90502750	54326917	33539875	2083	8372458	96542	37041	11977000	22092	201408
phase_a	clic-validation-034	compact	1518	2024	3072432	3060056	3058486	1570	0	192	85	102	26	16	8425850	8448768	22918	8425850	8448768	22918	78955125	38752291	98035042	56111708	38843250	3375	8224875	375208	115375	12237084	44838	402816
phase_a	clic-validation-034	low-latency	1518	2024	3072432	3060056	3058486	1570	0	48	26	34	13	12	8475800	8333568	-142232	8475800	8333568	-142232	77923500	36749375	95435584	54601375	38945667	2833	8789416	99875	33791	12237084	16179	201408
phase_a	clic-validation-035	compact	2024	1518	3072432	2989121	2970006	19115	0	192	92	106	17	13	8124282	8080180	-44102	8124282	8080180	-44102	79706542	37620708	98556750	56989208	39968834	3875	8626458	376375	135333	11918254	42250	402816
phase_a	clic-validation-035	low-latency	2024	1518	3072432	2989121	2970006	19115	0	48	30	29	11	7	8055284	8255042	199758	8055284	8255042	199758	78950208	36076833	97600834	55799042	39328917	1875	8274375	94833	36292	11918254	17354	201408
phase_a	clic-validation-036	compact	1518	2024	3072432	3059087	3054832	4255	0	192	114	141	26	20	7281758	7583970	302212	7281758	7583970	302212	78713125	39993750	96879083	58437708	37736750	4125	8482458	387834	115500	12227838	38395	402816
phase_a	clic-validation-036	low-latency	1518	2024	3072432	3059087	3054832	4255	0	48	33	42	16	12	7368046	7596726	228680	7368046	7596726	228680	76425500	37632167	94415958	55756708	37624167	2542	8737666	105833	33375	12227838	13139	201408
phase_a	clic-validation-037	compact	2024	1518	3072432	3032344	3020929	11415	0	192	85	105	25	24	7772372	7615756	-156616	7772372	7615756	-156616	78508000	38246250	97683333	56646416	39110208	3625	8480750	400458	126916	12106546	40222	402816
phase_a	clic-validation-037	low-latency	2024	1518	3072432	3032344	3020929	11415	0	48	28	31	14	11	7805588	7962198	156610	7805588	7962198	156610	77075459	35886834	96065750	54691292	38844583	2084	8631750	94375	33875	12106546	15163	201408
phase_a	clic-validation-038	compact	1512	2016	3048192	2948506	2934202	14304	0	192	129	187	37	31	8140256	7748200	-392056	8140256	7748200	-392056	73924709	38813625	93653084	57852625	34542375	3583	8167500	393291	118750	11765416	58762	402816
phase_a	clic-validation-038	low-latency	1512	2016	3048192	2948506	2934202	14304	0	48	30	36	16	14	8129706	8136526	6820	8129706	8136526	6820	72370958	36126583	91275083	55393000	34299833	1917	8268125	96042	43791	11765416	20005	201408
phase_a	clic-validation-039	compact	1512	2016	3048192	2913616	2904353	9263	0	192	110	142	29	24	7163302	7084842	-78460	7163302	7084842	-78460	74686750	38564542	92913750	56467458	35790208	3667	8138958	422917	112209	11635938	43433	402816
phase_a	clic-validation-039	low-latency	1512	2016	3048192	2913616	2904353	9263	0	48	33	39	16	16	7174990	7122814	-52176	7174990	7122814	-52176	73098292	36186625	91257167	54204625	34807417	2208	8093959	96459	32000	11635938	14594	201408
phase_a	clic-validation-040	compact	2016	1512	3048192	3002751	2990300	12451	0	192	92	152	20	12	6948508	7354336	405828	6948508	7354336	405828	75276000	38534250	94565416	57055375	36249167	3833	8354375	379333	107541	11986102	33600	402816
phase_a	clic-validation-040	low-latency	2016	1512	3048192	3002751	2990300	12451	0	48	28	47	12	9	7112000	7317914	205914	7112000	7317914	205914	75124750	36511875	92849625	55614917	34884917	1833	8364833	100708	29792	11986102	11220	201408
phase_a	clic-validation-041	compact	2016	1512	3048192	3033006	3027933	5073	0	192	121	145	38	28	8085038	8144750	59712	8085038	8144750	59712	77581625	37578000	95121209	55342167	38311291	3458	8404709	399541	124708	12121878	57048	402816
phase_a	clic-validation-041	low-latency	2016	1512	3048192	3033006	3027933	5073	0	48	35	45	16	15	8245686	8242854	-2832	8245686	8242854	-2832	77618750	36754542	95113542	54905625	37644458	2500	8336958	99625	34000	12121878	20115	201408
phase_a	clic-validation-042	compact	2016	1512	3048192	3036434	3032265	4169	0	192	158	175	55	37	8347186	8445584	98398	8347186	8445584	98398	78176042	40331542	96414959	58813667	36650500	4334	8539625	403541	128375	12137398	77798	402816
